nm_empresa,website_url,query,status,message_pt,works_with_wood,works_with_pine_panel,pine_panel_flag,confidence_wood,confidence_pine_panel,evidence_snippet,materials_summary,item_count_total,item_count_wood_related,item_count_mentions_pinus,run_at,attempts
Esquadribras - Industria De Esquadrias Ltda - Rio dos Cedros,https://www.esquadribras.com.br/,painel de madeira pinus,FOUND,Informações sobre produtos de madeira e painéis de pinus encontradas.,yes,yes,1,100,100,"A empresa oferece produtos como 'Portas Pínus sem Nó', 'Portas Pínus com Nó', 'Linha Pinus Sem Nó', e 'Linha Pinus Com Nó', onde o material é explicitamente listado como 'Pinus'. Isso confirma que a empresa trabalha com madeira, especificamente com painéis de pinus.","A empresa trabalha com portas feitas de Pinus (madeira de pinho). Vários produtos listados especificam 'Pinus' como material. Outros produtos não especificam o material, mas a presença de produtos de Pinus indica trabalho com madeira.",7,4,4,2026-01-15T12:28:56.581992+00:00,https://www.esquadribras.com.br/; https://www.esquadribras.com.br/mercado-nacional.php
Klabin S.A. - Pouso Redondo,https://klabin.com.br/,painel de madeira pinus,FOUND,Informações sobre produtos de madeira e painéis de pinus encontradas.,yes,yes,1,100,100,Papel Kraftliner: Produzido a partir de uma mistura de fibras virgens de pinus e eucalipto. ... Papel-cartão: Utiliza fibras virgens de pinus e eucalipto. ... Sack Kraft: Feito de kraft natural.,"A Klabin fabrica produtos como Papel Kraftliner, Papel-cartão e Sack Kraft, que são feitos a partir de fibras de pinus e eucalipto. Estes produtos são utilizados em embalagens e outros fins industriais.",11,11,10,2026-01-15T12:48:01.397078+00:00,Navigated to https://klabin.com.br/; Clicked 'Negócios e Produtos'; Clicked 'Papel Kraftliner'; Scrolled down; Extracted info for Papel Kraftliner; Clicked 'Papel-cartão'; Scrolled down; Extracted info for Papel-cartão; Clicked 'Sack Kraft'; Scrolled down; Extracted info for Sack Kraft; Clicked 'Reciclados'; Scrolled down (page empty)
Sul America Industria De Molduras - Braco do Norte,https://www.sulamericamolduras.com.br,painel de madeira pinus,FOUND,Produtos relacionados a madeira e painéis de pinus encontrados.,yes,yes,1,100,100,"Painel Redondo de Pinus
Painel Pinus Fingado Clear
Painel Pinus Natural com Nó
Painel Pinus Solido Clear
Blanks - Pinus Fingado
Boards - Pinus Natural","A empresa trabalha com painéis de Pinus (Fingado, Natural, Redondo, Sólido Clear) e Eucaliptus (Fingado Clear).",7,7,6,2026-01-15T12:52:46.184676+00:00,Navigated to https://www.sulamericamolduras.com.br; Clicked on 'Produtos'; Clicked on 'VER PRODUTOS' under 'Painéis / Blanks / Boards'; Extracted product information from the page
Blue Forest Industria E Comercio Ltda - Lages,https://blueforest.com.br,painel de madeira pinus,FOUND,Informações sobre produtos de madeira pinus encontradas.,yes,yes,1,100,100,"CERCAS BRUTAS DE PINUS ""DOG EAR""
CERCAS GÓTICAS BRUTAS DE PINUS
ESTACAS APLAINADAS DE PINUS
BALAÚSTRES APLAINADOS DE PINUS","A empresa oferece diversos produtos de madeira pinus, incluindo cercas brutas, cercas góticas, estacas e balaústres, todos feitos de pinus.",7,7,5,2026-01-15T12:54:53.981357+00:00,Navigated to https://blueforest.com.br; Clicked on 'Produtos'; Analyzed product listings for wood and pine wood panels.
Lavradora Racional De Madeiras Lavrama Sa - Timbo Grande,https://www.lavrama.com.br/,painel de madeira pinus,FOUND,Empresa encontrada com informações sobre produtos de madeira e painéis de pinus.,yes,yes,1,100,100,"A lavrama pertence ao grupo de empresas fundadas pela família Zugman em 1948. Localizada em Cel. Domingos Soares, Sul do Brasil, Lavrama conta com mais de 400 colaboradores, com uma capacidade instalada para produção de 100.000 m3 / ano de madeira serrada de pinus para produção de molduras e painéis colados EGP. Sustentabilidade Ambiental e Social são premissas básicas para a lavrama. Nós também temos orgulho de utilizar a mais recente tecnologia disponível a nível mundial e de investir em equipamentos capazes de produzir o que há de melhor em relação à molduras decorativas para o mercado de construção civil.","A empresa produz molduras, painéis colados de pinus (EGP), tábuas aplainadas finger joint, batentes e revestimento decorativo de madeira. Utilizam madeira serrada de pinus.",7,7,3,2026-01-15T13:08:08.993450+00:00,Navigated to https://www.lavrama.com.br/; Extracted information about products and materials.
Inter Link Group Of Production - Sao Bento do Sul,https://linksmoveisdemadeira.com.br/,painel de madeira pinus,FOUND,Empresa encontrada. Utiliza madeira maciça de Pinus (Pinus Elliottii) como base para seus móveis.,yes,yes,1,100,100,"A base de nossos móveis é feita com madeira maciça de Pinus (Pinus Elliottii), provendo maior durabilidade e consequentemente, aumento significativo na qualidade final.","A empresa utiliza madeira maciça de Pinus (Pinus Elliottii) como base para seus móveis, garantindo durabilidade e qualidade.",5,5,5,2026-01-15T13:26:15.243463+00:00,Navigated to https://linksmoveisdemadeira.com.br/; Searched Google for 'site:linksmoveisdemadeira.com.br produtos' (blocked by CAPTCHA); Navigated directly to https://linksmoveisdemadeira.com.br/ again; Extracted information about wood and pine panel usage from the current page content.
Ponte Alta Indústria e Comércio de Madeiras,https://pontealtaexp.com.br/,painel de madeira pinus,FOUND,Informações sobre produtos de madeira e pinus encontradas.,yes,yes,1,100,100,"Madeiras para móveis, Jardinagem (cercas), Bords, Madeiras para pallets, Embalagens, Embalagem, Construção Civil, Sobras de Exportação. Nossa madeira é produzida a partir de troncos de pinus reflorestado, que passam pelo processo de serragem, secagem em estufas KD, (Kiln Dried) classificação e embalagem.","A empresa trabalha com madeiras para móveis, jardinagem (cercas), bordas, pallets, embalagens, construção civil e sobras de exportação. A produção é feita a partir de pinus reflorestado.",8,8,8,2026-01-15T13:32:44.482579+00:00,Navigated to https://pontealtaexp.com.br/produtos/; Scrolled down to load content.; Extracted content from the page.
Braswood - Rio do Sul,https://www.braswood.com.br/,"Extract information about products, materials, and specifically if they work with wood and pine wood panels, including product names, categories, and any mention of 'Pinus' or 'pine'. Provide an evidence snippet.",FOUND,Informações sobre produtos e materiais extraídas com sucesso.,yes,yes,1,100,100,"At our “Taeda” Pine unities we offer a wide variety of finger jointed Door Jambs, Frames and Edge Glued Panels for building materials distributors & retailers. In the Eucalyptus operation we supply Ripped & Pre-Cuts Lumber for the Upholstery Frame industry & other applications such as gardening and organic agriculture.","A empresa trabalha com madeira 'Taeda' Pine para batentes de porta, caixilhos e painéis colados nas bordas. Também utiliza Eucalipto para madeira serrada.",6,6,3,2026-01-15T13:53:27.176396+00:00,Navigated to https://www.braswood.com.br/; Extracted product and material information from the page.
Cefram Madeiras Ltda - Lages,www.cefram.com.br,painel de madeira pinus,FOUND,Empresa encontrada com produtos de madeira pinus.,yes,yes,1,100,100,"A empresa Cefram Madeiras Ltda oferece diversos produtos pré-cortados e madeira beneficiada (S4S), todos feitos de ""Pinus seco classificado e imunizado"". Isso confirma que a empresa trabalha com madeira e especificamente com painéis de pinus.","Todos os produtos listados são feitos de madeira de pinus, beneficiada, seca, classificada e imunizada.",4,4,4,2026-01-15T13:54:28.756832+00:00,Navigated to www.cefram.com.br; Clicked on 'Produtos' link; Extracted product information from the products page
Shopping Da Madeira - Araquari,https://shoppingdamadeira.com.br/,painel de madeira pinus,FOUND,Informações sobre produtos de madeira pinus encontradas.,yes,yes,1,95,100,Pinus Autoclavado,"A empresa trabalha com madeira, especificamente com produtos de Pinus Autoclavado, que incluem painéis e decks.",3,3,3,2026-01-15T12:24:05.959684+00:00,Navigated to https://shoppingdamadeira.com.br/; Clicked on 'Madeireira' link (index 391); Clicked on 'PINUS AUTOCLAVADO' link (index 2290); Extracted product information from the page.
