,nome_empresa,url_site,consulta,status_execucao,mensagem_pt,trabalha_com_madeira,trabalha_com_painel_pinus,flag_painel_pinus,confianca_madeira,confianca_painel_pinus,trecho_evidencia,resumo_materiais,qtde_itens_total,qtde_itens_madeira,qtde_itens_menciona_pinus,data_coleta,tentativas,nome_empresa_limpa,nm_mun,nm_uf,nu_latitude,nu_longitude
0,Esquadribras - Industria De Esquadrias Ltda - Rio dos Cedros,https://www.esquadribras.com.br/,painel de madeira pinus,FOUND,Informações sobre produtos de madeira e painéis de pinus encontradas.,yes,yes,1,100,100,"A empresa oferece produtos como 'Portas Pínus sem Nó', 'Portas Pínus com Nó', 'Linha Pinus Sem Nó', e 'Linha Pinus Com Nó', onde o material é explicitamente listado como 'Pinus'. Isso confirma que a empresa trabalha com madeira, especificamente com painéis de pinus.","A empresa trabalha com portas feitas de Pinus (madeira de pinho). Vários produtos listados especificam 'Pinus' como material. Outros produtos não especificam o material, mas a presença de produtos de Pinus indica trabalho com madeira.",7,4,4,2026-01-15T12:28:56.581992+00:00,https://www.esquadribras.com.br/; https://www.esquadribras.com.br/mercado-nacional.php,Esquadribras - Industria De Esquadrias Ltda,RIO DOS CEDROS,Santa Catarina,-26.74912982,-49.27237944
1,Esquadribras - Industria De Esquadrias Ltda - Rio dos Cedros,https://www.esquadribras.com.br/,painel de madeira pinus,FOUND,Informações sobre produtos de madeira e painéis de pinus encontradas.,yes,yes,1,100,100,"A empresa oferece produtos como 'Portas Pínus sem Nó', 'Portas Pínus com Nó', 'Linha Pinus Sem Nó', e 'Linha Pinus Com Nó', onde o material é explicitamente listado como 'Pinus'. Isso confirma que a empresa trabalha com madeira, especificamente com painéis de pinus.","A empresa trabalha com portas feitas de Pinus (madeira de pinho). Vários produtos listados especificam 'Pinus' como material. Outros produtos não especificam o material, mas a presença de produtos de Pinus indica trabalho com madeira.",7,4,4,2026-01-15T12:28:56.581992+00:00,https://www.esquadribras.com.br/; https://www.esquadribras.com.br/mercado-nacional.php,Esquadribras - Industria De Esquadrias Ltda,RIO DOS CEDROS,Santa Catarina,-26.74912982,-49.27237944
2,Esquadribras - Industria De Esquadrias Ltda - Rio dos Cedros,https://www.esquadribras.com.br/,painel de madeira pinus,FOUND,Informações sobre produtos de madeira e painéis de pinus encontradas.,yes,yes,1,100,100,"A empresa oferece produtos como 'Portas Pínus sem Nó', 'Portas Pínus com Nó', 'Linha Pinus Sem Nó', e 'Linha Pinus Com Nó', onde o material é explicitamente listado como 'Pinus'. Isso confirma que a empresa trabalha com madeira, especificamente com painéis de pinus.","A empresa trabalha com portas feitas de Pinus (madeira de pinho). Vários produtos listados especificam 'Pinus' como material. Outros produtos não especificam o material, mas a presença de produtos de Pinus indica trabalho com madeira.",7,4,4,2026-01-15T12:28:56.581992+00:00,https://www.esquadribras.com.br/; https://www.esquadribras.com.br/mercado-nacional.php,Esquadribras - Industria De Esquadrias Ltda,RIO DOS CEDROS,Santa Catarina,-26.74912982,-49.27237944
3,Esquadribras - Industria De Esquadrias Ltda - Rio dos Cedros,https://www.esquadribras.com.br/,painel de madeira pinus,FOUND,Informações sobre produtos de madeira e painéis de pinus encontradas.,yes,yes,1,100,100,"A empresa oferece produtos como 'Portas Pínus sem Nó', 'Portas Pínus com Nó', 'Linha Pinus Sem Nó', e 'Linha Pinus Com Nó', onde o material é explicitamente listado como 'Pinus'. Isso confirma que a empresa trabalha com madeira, especificamente com painéis de pinus.","A empresa trabalha com portas feitas de Pinus (madeira de pinho). Vários produtos listados especificam 'Pinus' como material. Outros produtos não especificam o material, mas a presença de produtos de Pinus indica trabalho com madeira.",7,4,4,2026-01-15T12:28:56.581992+00:00,https://www.esquadribras.com.br/; https://www.esquadribras.com.br/mercado-nacional.php,Esquadribras - Industria De Esquadrias Ltda,RIO DOS CEDROS,Santa Catarina,-26.74912982,-49.27237944
4,Esquadribras - Industria De Esquadrias Ltda - Rio dos Cedros,https://www.esquadribras.com.br/,painel de madeira pinus,FOUND,Informações sobre produtos de madeira e painéis de pinus encontradas.,yes,yes,1,100,100,"A empresa oferece produtos como 'Portas Pínus sem Nó', 'Portas Pínus com Nó', 'Linha Pinus Sem Nó', e 'Linha Pinus Com Nó', onde o material é explicitamente listado como 'Pinus'. Isso confirma que a empresa trabalha com madeira, especificamente com painéis de pinus.","A empresa trabalha com portas feitas de Pinus (madeira de pinho). Vários produtos listados especificam 'Pinus' como material. Outros produtos não especificam o material, mas a presença de produtos de Pinus indica trabalho com madeira.",7,4,4,2026-01-15T12:28:56.581992+00:00,https://www.esquadribras.com.br/; https://www.esquadribras.com.br/mercado-nacional.php,Esquadribras - Industria De Esquadrias Ltda,RIO DOS CEDROS,Santa Catarina,-26.74912982,-49.27237944
5,Esquadribras - Industria De Esquadrias Ltda - Rio dos Cedros,https://www.esquadribras.com.br/,painel de madeira pinus,FOUND,Informações sobre produtos de madeira e painéis de pinus encontradas.,yes,yes,1,100,100,"A empresa oferece produtos como 'Portas Pínus sem Nó', 'Portas Pínus com Nó', 'Linha Pinus Sem Nó', e 'Linha Pinus Com Nó', onde o material é explicitamente listado como 'Pinus'. Isso confirma que a empresa trabalha com madeira, especificamente com painéis de pinus.","A empresa trabalha com portas feitas de Pinus (madeira de pinho). Vários produtos listados especificam 'Pinus' como material. Outros produtos não especificam o material, mas a presença de produtos de Pinus indica trabalho com madeira.",7,4,4,2026-01-15T12:28:56.581992+00:00,https://www.esquadribras.com.br/; https://www.esquadribras.com.br/mercado-nacional.php,Esquadribras - Industria De Esquadrias Ltda,RIO DOS CEDROS,Santa Catarina,-26.74912982,-49.27237944
6,Klabin S.A. - Pouso Redondo,https://klabin.com.br/,painel de madeira pinus,FOUND,Informações sobre produtos de madeira e painéis de pinus encontradas.,yes,yes,1,100,100,Papel Kraftliner: Produzido a partir de uma mistura de fibras virgens de pinus e eucalipto. ... Papel-cartão: Utiliza fibras virgens de pinus e eucalipto. ... Sack Kraft: Feito de kraft natural.,"A Klabin fabrica produtos como Papel Kraftliner, Papel-cartão e Sack Kraft, que são feitos a partir de fibras de pinus e eucalipto. Estes produtos são utilizados em embalagens e outros fins industriais.",11,11,10,2026-01-15T12:48:01.397078+00:00,Navigated to https://klabin.com.br/; Clicked 'Negócios e Produtos'; Clicked 'Papel Kraftliner'; Scrolled down; Extracted info for Papel Kraftliner; Clicked 'Papel-cartão'; Scrolled down; Extracted info for Papel-cartão; Clicked 'Sack Kraft'; Scrolled down; Extracted info for Sack Kraft; Clicked 'Reciclados'; Scrolled down (page empty),Klabin S.A.,POUSO REDONDO,Santa Catarina,-27.25108628,-49.95565214
7,Klabin S.A. - Pouso Redondo,https://klabin.com.br/,painel de madeira pinus,FOUND,Informações sobre produtos de madeira e painéis de pinus encontradas.,yes,yes,1,100,100,Papel Kraftliner: Produzido a partir de uma mistura de fibras virgens de pinus e eucalipto. ... Papel-cartão: Utiliza fibras virgens de pinus e eucalipto. ... Sack Kraft: Feito de kraft natural.,"A Klabin fabrica produtos como Papel Kraftliner, Papel-cartão e Sack Kraft, que são feitos a partir de fibras de pinus e eucalipto. Estes produtos são utilizados em embalagens e outros fins industriais.",11,11,10,2026-01-15T12:48:01.397078+00:00,Navigated to https://klabin.com.br/; Clicked 'Negócios e Produtos'; Clicked 'Papel Kraftliner'; Scrolled down; Extracted info for Papel Kraftliner; Clicked 'Papel-cartão'; Scrolled down; Extracted info for Papel-cartão; Clicked 'Sack Kraft'; Scrolled down; Extracted info for Sack Kraft; Clicked 'Reciclados'; Scrolled down (page empty),Klabin S.A.,POUSO REDONDO,Santa Catarina,-27.25108628,-49.95565214
8,Klabin S.A. - Pouso Redondo,https://klabin.com.br/,painel de madeira pinus,FOUND,Informações sobre produtos de madeira e painéis de pinus encontradas.,yes,yes,1,100,100,Papel Kraftliner: Produzido a partir de uma mistura de fibras virgens de pinus e eucalipto. ... Papel-cartão: Utiliza fibras virgens de pinus e eucalipto. ... Sack Kraft: Feito de kraft natural.,"A Klabin fabrica produtos como Papel Kraftliner, Papel-cartão e Sack Kraft, que são feitos a partir de fibras de pinus e eucalipto. Estes produtos são utilizados em embalagens e outros fins industriais.",11,11,10,2026-01-15T12:48:01.397078+00:00,Navigated to https://klabin.com.br/; Clicked 'Negócios e Produtos'; Clicked 'Papel Kraftliner'; Scrolled down; Extracted info for Papel Kraftliner; Clicked 'Papel-cartão'; Scrolled down; Extracted info for Papel-cartão; Clicked 'Sack Kraft'; Scrolled down; Extracted info for Sack Kraft; Clicked 'Reciclados'; Scrolled down (page empty),Klabin S.A.,POUSO REDONDO,Santa Catarina,-27.25108628,-49.95565214
9,Klabin S.A. - Pouso Redondo,https://klabin.com.br/,painel de madeira pinus,FOUND,Informações sobre produtos de madeira e painéis de pinus encontradas.,yes,yes,1,100,100,Papel Kraftliner: Produzido a partir de uma mistura de fibras virgens de pinus e eucalipto. ... Papel-cartão: Utiliza fibras virgens de pinus e eucalipto. ... Sack Kraft: Feito de kraft natural.,"A Klabin fabrica produtos como Papel Kraftliner, Papel-cartão e Sack Kraft, que são feitos a partir de fibras de pinus e eucalipto. Estes produtos são utilizados em embalagens e outros fins industriais.",11,11,10,2026-01-15T12:48:01.397078+00:00,Navigated to https://klabin.com.br/; Clicked 'Negócios e Produtos'; Clicked 'Papel Kraftliner'; Scrolled down; Extracted info for Papel Kraftliner; Clicked 'Papel-cartão'; Scrolled down; Extracted info for Papel-cartão; Clicked 'Sack Kraft'; Scrolled down; Extracted info for Sack Kraft; Clicked 'Reciclados'; Scrolled down (page empty),Klabin S.A.,POUSO REDONDO,Santa Catarina,-27.25108628,-49.95565214
