nm_empresa,website_url,run_at,product_category,product_name,materials,is_wood_related,mentions_pinus,source_hint
Blue Forest Industria E Comercio Ltda - Lages,https://blueforest.com.br,2026-01-15T12:54:53.981357+00:00,CERCAS BRUTAS,"CERCAS BRUTAS DE PINUS ""DOG EAR""",PINUS,yes,yes,Mercado Externo
Blue Forest Industria E Comercio Ltda - Lages,https://blueforest.com.br,2026-01-15T12:54:53.981357+00:00,CERCAS GÓTICAS,CERCAS GÓTICAS BRUTAS DE PINUS,PINUS,yes,yes,Mercado Externo
Blue Forest Industria E Comercio Ltda - Lages,https://blueforest.com.br,2026-01-15T12:54:53.981357+00:00,CERCAS GÓTICAS,CERCAS GÓTICAS APLAINADAS DE PINUS,PINUS,yes,yes,Mercado Externo
Blue Forest Industria E Comercio Ltda - Lages,https://blueforest.com.br,2026-01-15T12:54:53.981357+00:00,ESTACAS,ESTACAS APLAINADAS DE PINUS,PINUS,yes,yes,Mercado Externo
Blue Forest Industria E Comercio Ltda - Lages,https://blueforest.com.br,2026-01-15T12:54:53.981357+00:00,BALAÚSTRES,BALAÚSTRES APLAINADOS DE PINUS,PINUS,yes,yes,Mercado Externo
Brasnile Pellets Ltda - Tres Barras,https://www.brasnile.com.br/,2026-01-15T13:20:43.777138+00:00,Plywood and Veneers,Compensados e lâminas de pinus e eucalipto,"Pinus, Eucalipto",yes,yes,https://www.brasnile.com.br/sobre
Braswood - Rio do Sul,https://www.braswood.com.br/,2026-01-15T13:53:27.176396+00:00,Building Materials,Door Jambs,Taeda Pine,yes,yes,PRODUCTS & DIVISIONS section
Braswood - Rio do Sul,https://www.braswood.com.br/,2026-01-15T13:53:27.176396+00:00,Building Materials,Frames,Taeda Pine,yes,yes,PRODUCTS & DIVISIONS section
Braswood - Rio do Sul,https://www.braswood.com.br/,2026-01-15T13:53:27.176396+00:00,Building Materials,Edge Glued Panels,Taeda Pine,yes,yes,PRODUCTS & DIVISIONS section
Cefram Madeiras Ltda - Lages,www.cefram.com.br,2026-01-15T13:54:28.756832+00:00,,Pré-cortados para estofados,Pinus seco classificado e imunizado,yes,yes,Pré-cortados para estofados
Cefram Madeiras Ltda - Lages,www.cefram.com.br,2026-01-15T13:54:28.756832+00:00,,Pré-cortados para embalagens industriais,Pinus seco classificado e imunizado,yes,yes,Pré-cortados para embalagens industriais
Cefram Madeiras Ltda - Lages,www.cefram.com.br,2026-01-15T13:54:28.756832+00:00,,Pré-cortados para colchões box,Pinus seco classificado e imunizado,yes,yes,Pré-cortados para colchões box
Cefram Madeiras Ltda - Lages,www.cefram.com.br,2026-01-15T13:54:28.756832+00:00,,Madeira de pinus beneficiada (S4S),Pinus seco classificado e imunizado,yes,yes,Madeira de pinus beneficiada (S4S)
Connexion Export - Imbituba,https://connexionexport.com.br/,2026-01-15T12:57:03.295257+00:00,Matéria-prima,Toras,"eucalipto, pinus",yes,yes,https://connexionexport.com.br/
Connexion Export - Imbituba,https://connexionexport.com.br/,2026-01-15T12:57:03.295257+00:00,Matéria-prima,Cavacos,"eucalipto, pinus",yes,yes,https://connexionexport.com.br/
Cs Amurel - Tubarao,https://www.csamurel.com.br,2026-01-15T13:14:25.289257+00:00,Residencial,Casa popular de madeira reflorestada,Pinus ou Eucalyptus,yes,yes,Obras Realizadas page text
Dissenha Florestal Ltda - Porto Uniao,https://www.dissenhaflorestal.com.br/,2026-01-15T12:53:12.286209+00:00,Silvicultura / Painéis de Madeira,Dissenha Florestal Ltda - Atividades Florestais e Painéis de Compensado,"Pinus, Eucalipto, Compensado (Plywood)",yes,yes,Company history and reforestation activities
Esquadribras - Industria De Esquadrias Ltda - Rio dos Cedros,https://www.esquadribras.com.br/,2026-01-15T12:28:56.581992+00:00,Portas,Portas Pínus sem Nó,Pinus,yes,yes,Mercado Nacional
Esquadribras - Industria De Esquadrias Ltda - Rio dos Cedros,https://www.esquadribras.com.br/,2026-01-15T12:28:56.581992+00:00,Portas,Portas Pínus com Nó,Pinus,yes,yes,Mercado Nacional
Esquadribras - Industria De Esquadrias Ltda - Rio dos Cedros,https://www.esquadribras.com.br/,2026-01-15T12:28:56.581992+00:00,Portas,Linha Pinus Sem Nó,Pinus,yes,yes,Mercado Nacional
Esquadribras - Industria De Esquadrias Ltda - Rio dos Cedros,https://www.esquadribras.com.br/,2026-01-15T12:28:56.581992+00:00,Portas,Linha Pinus Com Nó,Pinus,yes,yes,Mercado Nacional
Favaretto Materiais De Construcao - Coronel Freitas,https://construcaofavaretto.com.br,2026-01-15T13:16:27.139625+00:00,Estrutura da obra,Madeiras,"Wood, Pinus, Pine",yes,yes,Estrutura da obra
Fjf Comercio De Madeiras - Sideropolis,https://madeirasfjf.com.br,2026-01-15T13:31:01.895841+00:00,Madeira,Pinus Beneficiado,Pinus,yes,yes,Pinus Beneficiado
Fjf Comercio De Madeiras - Sideropolis,https://madeirasfjf.com.br,2026-01-15T13:31:01.895841+00:00,Madeira,Pinus Bruto,Pinus,yes,yes,Pinus Bruto
Fort Exportacao & Importacao Ltda - Rio do Sul,https://www.fortexport.com.br/,2026-01-15T13:37:44.392527+00:00,Sawn Wood,Madeira Serrada de Pinus,Pine Wood,yes,yes,Madeira Serrada de Pinus
Hence Do Brasil - Forquilhinha,https://www.hence.com.br,2026-01-15T13:29:29.889386+00:00,Internal Doors,Internal Clear Pine,Pine,yes,yes,Internal Clear Pine
Hence Do Brasil - Forquilhinha,https://www.hence.com.br,2026-01-15T13:29:29.889386+00:00,Internal Doors,Internal Knotty Pine,Pine,yes,yes,Internal Knotty Pine
