nome_empresa,url_site,data_coleta,categoria_produto,nome_produto,material,relacionado_madeira,menciona_pinus,fonte_indicio,categoria_produto_norm,categoria_produto_grupo,material_norm,material_grupo
Blue Forest Industria E Comercio Ltda - Lages,https://blueforest.com.br,2026-01-15T12:54:53.981357+00:00,CERCAS BRUTAS,"CERCAS BRUTAS DE PINUS ""DOG EAR""",PINUS,yes,yes,Mercado Externo,cercas brutas,outros,pinus,Pinus
Blue Forest Industria E Comercio Ltda - Lages,https://blueforest.com.br,2026-01-15T12:54:53.981357+00:00,CERCAS GÓTICAS,CERCAS GÓTICAS BRUTAS DE PINUS,PINUS,yes,yes,Mercado Externo,cercas goticas,outros,pinus,Pinus
Blue Forest Industria E Comercio Ltda - Lages,https://blueforest.com.br,2026-01-15T12:54:53.981357+00:00,CERCAS GÓTICAS,CERCAS GÓTICAS APLAINADAS DE PINUS,PINUS,yes,yes,Mercado Externo,cercas goticas,outros,pinus,Pinus
Blue Forest Industria E Comercio Ltda - Lages,https://blueforest.com.br,2026-01-15T12:54:53.981357+00:00,ESTACAS,ESTACAS APLAINADAS DE PINUS,PINUS,yes,yes,Mercado Externo,estacas,outros,pinus,Pinus
Blue Forest Industria E Comercio Ltda - Lages,https://blueforest.com.br,2026-01-15T12:54:53.981357+00:00,BALAÚSTRES,BALAÚSTRES APLAINADOS DE PINUS,PINUS,yes,yes,Mercado Externo,balaustres,outros,pinus,Pinus
Brasnile Pellets Ltda - Tres Barras,https://www.brasnile.com.br/,2026-01-15T13:20:43.777138+00:00,Plywood and Veneers,Compensados e lâminas de pinus e eucalipto,"Pinus, Eucalipto",yes,yes,https://www.brasnile.com.br/sobre,plywood and veneers,madeira,"pinus, eucalipto",Pinus
Braswood - Rio do Sul,https://www.braswood.com.br/,2026-01-15T13:53:27.176396+00:00,Building Materials,Door Jambs,Taeda Pine,yes,yes,PRODUCTS & DIVISIONS section,building materials,outros,taeda pine,Pinus
Braswood - Rio do Sul,https://www.braswood.com.br/,2026-01-15T13:53:27.176396+00:00,Building Materials,Frames,Taeda Pine,yes,yes,PRODUCTS & DIVISIONS section,building materials,outros,taeda pine,Pinus
Braswood - Rio do Sul,https://www.braswood.com.br/,2026-01-15T13:53:27.176396+00:00,Building Materials,Edge Glued Panels,Taeda Pine,yes,yes,PRODUCTS & DIVISIONS section,building materials,outros,taeda pine,Pinus
Cefram Madeiras Ltda - Lages,www.cefram.com.br,2026-01-15T13:54:28.756832+00:00,,Pré-cortados para estofados,Pinus seco classificado e imunizado,yes,yes,Pré-cortados para estofados,nan,outros,pinus seco classificado e imunizado,Pinus
Cefram Madeiras Ltda - Lages,www.cefram.com.br,2026-01-15T13:54:28.756832+00:00,,Pré-cortados para embalagens industriais,Pinus seco classificado e imunizado,yes,yes,Pré-cortados para embalagens industriais,nan,outros,pinus seco classificado e imunizado,Pinus
Cefram Madeiras Ltda - Lages,www.cefram.com.br,2026-01-15T13:54:28.756832+00:00,,Pré-cortados para colchões box,Pinus seco classificado e imunizado,yes,yes,Pré-cortados para colchões box,nan,outros,pinus seco classificado e imunizado,Pinus
Cefram Madeiras Ltda - Lages,www.cefram.com.br,2026-01-15T13:54:28.756832+00:00,,Madeira de pinus beneficiada (S4S),Pinus seco classificado e imunizado,yes,yes,Madeira de pinus beneficiada (S4S),nan,outros,pinus seco classificado e imunizado,Pinus
Connexion Export - Imbituba,https://connexionexport.com.br/,2026-01-15T12:57:03.295257+00:00,Matéria-prima,Toras,"eucalipto, pinus",yes,yes,https://connexionexport.com.br/,materia-prima,outros,"eucalipto, pinus",Pinus
Connexion Export - Imbituba,https://connexionexport.com.br/,2026-01-15T12:57:03.295257+00:00,Matéria-prima,Cavacos,"eucalipto, pinus",yes,yes,https://connexionexport.com.br/,materia-prima,outros,"eucalipto, pinus",Pinus
Cs Amurel - Tubarao,https://www.csamurel.com.br,2026-01-15T13:14:25.289257+00:00,Residencial,Casa popular de madeira reflorestada,Pinus ou Eucalyptus,yes,yes,Obras Realizadas page text,residencial,outros,pinus ou eucalyptus,Pinus
Dissenha Florestal Ltda - Porto Uniao,https://www.dissenhaflorestal.com.br/,2026-01-15T12:53:12.286209+00:00,Silvicultura / Painéis de Madeira,Dissenha Florestal Ltda - Atividades Florestais e Painéis de Compensado,"Pinus, Eucalipto, Compensado (Plywood)",yes,yes,Company history and reforestation activities,silvicultura / paineis de madeira,madeira,"pinus, eucalipto, compensado (plywood)",Pinus
Esquadribras - Industria De Esquadrias Ltda - Rio dos Cedros,https://www.esquadribras.com.br/,2026-01-15T12:28:56.581992+00:00,Portas,Portas Pínus sem Nó,Pinus,yes,yes,Mercado Nacional,portas,portas,pinus,Pinus
Esquadribras - Industria De Esquadrias Ltda - Rio dos Cedros,https://www.esquadribras.com.br/,2026-01-15T12:28:56.581992+00:00,Portas,Portas Pínus com Nó,Pinus,yes,yes,Mercado Nacional,portas,portas,pinus,Pinus
Esquadribras - Industria De Esquadrias Ltda - Rio dos Cedros,https://www.esquadribras.com.br/,2026-01-15T12:28:56.581992+00:00,Portas,Linha Pinus Sem Nó,Pinus,yes,yes,Mercado Nacional,portas,portas,pinus,Pinus
Esquadribras - Industria De Esquadrias Ltda - Rio dos Cedros,https://www.esquadribras.com.br/,2026-01-15T12:28:56.581992+00:00,Portas,Linha Pinus Com Nó,Pinus,yes,yes,Mercado Nacional,portas,portas,pinus,Pinus
Favaretto Materiais De Construcao - Coronel Freitas,https://construcaofavaretto.com.br,2026-01-15T13:16:27.139625+00:00,Estrutura da obra,Madeiras,"Wood, Pinus, Pine",yes,yes,Estrutura da obra,estrutura da obra,outros,"wood, pinus, pine",Pinus
Fjf Comercio De Madeiras - Sideropolis,https://madeirasfjf.com.br,2026-01-15T13:31:01.895841+00:00,Madeira,Pinus Beneficiado,Pinus,yes,yes,Pinus Beneficiado,madeira,madeira,pinus,Pinus
Fjf Comercio De Madeiras - Sideropolis,https://madeirasfjf.com.br,2026-01-15T13:31:01.895841+00:00,Madeira,Pinus Bruto,Pinus,yes,yes,Pinus Bruto,madeira,madeira,pinus,Pinus
Fort Exportacao & Importacao Ltda - Rio do Sul,https://www.fortexport.com.br/,2026-01-15T13:37:44.392527+00:00,Sawn Wood,Madeira Serrada de Pinus,Pine Wood,yes,yes,Madeira Serrada de Pinus,sawn wood,madeira,pine wood,Pinus
Hence Do Brasil - Forquilhinha,https://www.hence.com.br,2026-01-15T13:29:29.889386+00:00,Internal Doors,Internal Clear Pine,Pine,yes,yes,Internal Clear Pine,internal doors,outros,pine,Pinus
Hence Do Brasil - Forquilhinha,https://www.hence.com.br,2026-01-15T13:29:29.889386+00:00,Internal Doors,Internal Knotty Pine,Pine,yes,yes,Internal Knotty Pine,internal doors,outros,pine,Pinus
Hence Do Brasil - Forquilhinha,https://www.hence.com.br,2026-01-15T13:29:29.889386+00:00,Doors,Elliottis Pine Wooden Doors,Elliottis Pine,yes,yes,Elliottis Pine Wooden Doors Specifications,doors,outros,elliottis pine,Pinus
Herli Moveis - Rio Negrinho,https://herli.com.br/pt,2026-01-15T13:24:26.037244+00:00,cabinetry,ARMÁRIO COM MOLDURA FRONTAL,"Contraplacado (12 mm, 18 mm), Madeira de pinho maciça, MDF (18 mm)",yes,yes,https://herli.com.br/pt/cabinetry,cabinetry,outros,"contraplacado (12 mm, 18 mm), madeira de pinho macica, mdf (18 mm)",Madeira
Ibk - Massaranduba,https://ibk.ind.br/,2026-01-15T13:58:35.734727+00:00,Painel de madeira,Painel de madeira colada,"Eucalipto, Pinus, Teca",yes,yes,https://ibk.ind.br/painel-de-madeira-colada/,painel de madeira,madeira,"eucalipto, pinus, teca",Pinus
Inter Link Group Of Production - Sao Bento do Sul,https://linksmoveisdemadeira.com.br/,2026-01-15T13:26:15.243463+00:00,Móveis,Guarda Roupas,Madeira maciça de Pinus (Pinus Elliottii),yes,yes,Product category listed on the main page,moveis,outros,madeira macica de pinus (pinus elliottii),Pinus
Inter Link Group Of Production - Sao Bento do Sul,https://linksmoveisdemadeira.com.br/,2026-01-15T13:26:15.243463+00:00,Móveis,Camas,Madeira maciça de Pinus (Pinus Elliottii),yes,yes,Product category listed on the main page,moveis,outros,madeira macica de pinus (pinus elliottii),Pinus
Inter Link Group Of Production - Sao Bento do Sul,https://linksmoveisdemadeira.com.br/,2026-01-15T13:26:15.243463+00:00,Móveis,Cabeceiras,Madeira maciça de Pinus (Pinus Elliottii),yes,yes,Product category listed on the main page,moveis,outros,madeira macica de pinus (pinus elliottii),Pinus
Inter Link Group Of Production - Sao Bento do Sul,https://linksmoveisdemadeira.com.br/,2026-01-15T13:26:15.243463+00:00,Móveis,Cômodas,Madeira maciça de Pinus (Pinus Elliottii),yes,yes,Product category listed on the main page,moveis,outros,madeira macica de pinus (pinus elliottii),Pinus
Inter Link Group Of Production - Sao Bento do Sul,https://linksmoveisdemadeira.com.br/,2026-01-15T13:26:15.243463+00:00,Móveis,Cadeiras de Escritório/Gamer,Madeira maciça de Pinus (Pinus Elliottii),yes,yes,Product category listed on the main page,moveis,outros,madeira macica de pinus (pinus elliottii),Pinus
Intercroma S/A - Sao Bento do Sul,https://www.intercroma.com/,2026-01-15T13:21:25.457502+00:00,Madeira,Madeira Serrada,Pinus,yes,yes,https://www.intercroma.com/madeira,madeira,madeira,pinus,Pinus
Intercroma S/A - Sao Bento do Sul,https://www.intercroma.com/,2026-01-15T13:21:25.457502+00:00,Painéis,Painéis,Pinus,yes,yes,https://www.intercroma.com/madeira,paineis,outros,pinus,Pinus
Intercroma S/A - Sao Bento do Sul,https://www.intercroma.com/,2026-01-15T13:21:25.457502+00:00,Móveis,Móveis,Pinus,yes,yes,https://www.intercroma.com/madeira,moveis,outros,pinus,Pinus
