,nm_empresa,website_url,query,status,message_pt,attempts,name,dimensions_raw,price_raw,url,length_mm,width_mm,thickness_mm,price_value,currency,volume_m3,price_per_m3
0,Alianda Pisos E Azulejos Ltda - Criciuma,https://www.alianda.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,
1,Agroter Materiais De Construcao E Ferragens Ltda - Chapeco,https://www.agroter.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,
2,Adonai Estofados - Timbo,https://www.adonaiestofados.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,
3,Decoros - Sao Bento do Sul,https://www.decoros.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,
4,Acimel Comercio De Revestimentos E Construcoes Ltda - Blumenau,https://www.acimel.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,
5,Acasel Acabamento E Seguranca Ltda - Chapeco,https://acasel.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,
6,Clagil Agro Pecuaria E Representacoes - Matos Costa,https://clagil.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,
7,Aster Distribuicao - Sao Jose,https://asterdistribuidora.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,
8,Acqua Brasil Ltda - Itajai,https://aquabrasil.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,
9,Moveis Alvin - Sao Bento do Sul,https://www.moveisalvin.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,
10,Balaroti Balneario Camboriu - Balneario Camboriu,https://www.balaroti.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],"Painel Ripado Super WPC Ecovale Marrom RP1 1,5x10x285cm","1,5x10x285cm","R$ 121,90",/painel-ripado-super-wpc-ecovale-marrom-rp1-1-5x10x285cm,15.0,10.0,,121.9,BRL,,
11,Balaroti Balneario Camboriu - Balneario Camboriu,https://www.balaroti.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],"Painel Ripado Super WPC Ecovale Mel RP1 1,5x10x285cm","1,5x10x285cm","R$ 121,90",/painel-ripado-super-wpc-ecovale-mel-rp1-1-5x10x285cm,15.0,10.0,,121.9,BRL,,
12,Bonato Materiais De Construcao Ltda - Joacaba,https://www.bonato.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,
13,Casa Do Mdf E Ferragens Comercial Ltda - Joinville,https://www.casadomdf.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,
14,Bonato Prime Ltda - Joacaba,https://www.bonatoprime.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,
15,Casas Do Cano Ltda - Florianopolis,https://www.casasdocano.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,
16,Brudine - Palhoca,https://brudine.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,
