,website_url,query,status,message_pt,attempts,name,dimensions_raw,price_raw,url,length_mm,width_mm,thickness_mm,price_value,currency,quantity,volume_m3,price_per_m3,nm_empresa,cidade,nm_mun,nm_uf,nu_latitude,nu_longitude
0,https://www.adonaiestofados.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Adonai Estofados,TIMBO,TIMBO,Santa Catarina,-26.82290257,-49.27771229
7,https://clagil.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Clagil Agro Pecuaria E Representacoes,MATOS COSTA,MATOS COSTA,Santa Catarina,-26.47411544,-51.15745144
9,https://aquabrasil.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Acqua Brasil Ltda,ITAJAI,ITAJAI,Santa Catarina,-26.90742624,-48.65702321
16,https://www.decoros.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Decoros,SAO BENTO DO SUL,SAO BENTO DO SUL,Santa Catarina,-26.24948542,-49.3869789
23,https://www.moveisalvin.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Moveis Alvin,SAO BENTO DO SUL,SAO BENTO DO SUL,Santa Catarina,-26.24948542,-49.3869789
30,https://www.acimel.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Acimel Comercio De Revestimentos E Construcoes Ltda,BLUMENAU,BLUMENAU,Santa Catarina,-26.91610771,-49.05763088
37,https://www.alianda.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Alianda Pisos E Azulejos Ltda,CRICIUMA,CRICIUMA,Santa Catarina,-28.67357225,-49.36593956
43,https://acasel.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Acasel Acabamento E Seguranca Ltda,CHAPECO,CHAPECO,Santa Catarina,-27.10683702,-52.61703111
49,https://www.balaroti.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Balaroti Balneario Camboriu,BALNEARIO CAMBORIU,BALNEARIO CAMBORIU,Santa Catarina,-26.99181861,-48.63461748
56,https://asterdistribuidora.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Aster Distribuicao,SAO JOSE,SAO JOSE,Santa Catarina,-27.59031208,-48.61602272
64,https://www.bonatoprime.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Bonato Prime Ltda,JOACABA,JOACABA,Santa Catarina,-27.17394453,-51.50668973
69,https://www.agroter.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Agroter Materiais De Construcao E Ferragens Ltda,CHAPECO,CHAPECO,Santa Catarina,-27.10683702,-52.61703111
75,https://www.behling.ind.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Behling Lumber Importacao E Exportacao De Madeiras Ltda,ITAJAI,ITAJAI,Santa Catarina,-26.90742624,-48.65702321
82,https://brudine.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Brudine,PALHOCA,PALHOCA,Santa Catarina,-27.64704368,-48.67028792
90,https://bortolato.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Bortolato Material Para Construcao Ltda,NAVEGANTES,NAVEGANTES,Santa Catarina,-26.89743912,-48.6491829
96,https://www.casadomdf.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Casa Do Mdf E Ferragens Comercial Ltda,JOINVILLE,JOINVILLE,Santa Catarina,-26.30451765,-48.84940914
103,https://www.casasdocano.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Casas Do Cano Ltda,FLORIANOPOLIS,FLORIANOPOLIS,Santa Catarina,-27.58779555,-48.54763738
111,https://www.bonato.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Bonato Materiais De Construcao Ltda,JOACABA,JOACABA,Santa Catarina,-27.17394453,-51.50668973
116,https://www.casavee.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Casavee Home Decor,RIO NEGRINHO,RIO NEGRINHO,Santa Catarina,-26.25532503,-49.51729508
122,https://www.lojacavilha.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Cavilha,RIO DO SUL,RIO DO SUL,Santa Catarina,-27.21790323,-49.64323753
129,https://www.cassol.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Cassol Centerlar,ITAJAI,ITAJAI,Santa Catarina,-26.90742624,-48.65702321
136,https://www.ciadoestofado.ind.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,[],,,,,,,,,,,,,Cia Do Estofado,MONDAI,MONDAI,Santa Catarina,-27.10361169,-53.39868403
139,https://casapedroso.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Casa Pedroso Materiais Para Construcao Ltda,NAVEGANTES,NAVEGANTES,Santa Catarina,-26.89743912,-48.6491829
145,https://www.comercialcarlessi.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Comercial Carlessi Ltda,TURVO,TURVO,Paraná,-25.0401268,-51.53276433
150,https://www.comercialcarlessi.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Comercial Carlessi Ltda,TURVO,TURVO,Santa Catarina,-28.92474922,-49.68086575
