nm_empresa,website_url,query,status,message_pt,works_with_wood,works_with_pine_panel,pine_panel_flag,confidence_wood,confidence_pine_panel,evidence_snippet,materials_summary,item_count_total,item_count_wood_related,item_count_mentions_pinus,run_at,attempts
Fabrica De Moveis Rorato - Araruna,https://www.ajrorato.ind.br/,painel de madeira pinus,FOUND,A empresa utiliza madeira de pinus em seus produtos.,yes,yes,1,100,100,"COZINHAS: Estrutura reforçada de madeira pinus de reflorestamento próprio tratada, garantindo durabilidade e resistência. LAVANDERIA: Armário com estrutura reforçada de madeira pinus de reflorestamento próprio e tanque em mármore sintético.",A empresa utiliza madeira de pinus de reflorestamento próprio tratada em suas estruturas de armários para cozinhas e lavanderias.,10,10,10,2026-01-26T12:26:53.444055+00:00,Navigated to https://www.ajrorato.ind.br/; Extracted information from 'COZINHAS' and 'LAVANDERIA' sections.
Gcm Trade - Curitiba,https://www.gcmtrade.com.br,painel de madeira pinus,FOUND,Informações sobre produtos de madeira encontradas.,yes,yes,1,100,97,"This product can be produced with WBP or MR glue in different sizes, thicknesses and qualities, such as A, B, C+, C, OES (Oil and Edge sealed), Falldown and Shop Grade.
Our main purpose is to assist you to import the best products in the wood and food industries.","A empresa trabalha com diversos produtos de madeira, incluindo 'Pine Plywood' (compensado de pinus) com diferentes colas (WBP ou MR), tamanhos, espessuras e qualidades. Outros produtos de madeira listados incluem Blockboard, Plywood Decorativo, Eucalipto, Plywood Revestido com Filme, Madeira de Lei, Plywood de Madeira de Lei, entre outros.",19,19,2,2026-01-26T12:35:59.001038+00:00,Navigated to https://www.gcmtrade.com.br; Clicked 'Go to Wood Products'; Clicked 'Pine Plywood'; Extracted product details from https://www.gcmtrade.com.br/wood/pine-plywood
Rpcz Agro Florestal Ltda. - Tunas do Parana,https://rragroflorestal.com.br/,painel de madeira pinus,FOUND,Empresa encontrada. Serviços relacionados a madeira e pinus foram identificados.,yes,yes,1,95,97,"Assessoria em todo processo de silvicultura de eucalipto, pinus, nativas e SAF (cacau consorciado com banana, seringueira, açai e etc). Assessoria em todo processo de produção de mudas florestais (eucalipto, pinus, nativas e cacau). Cursos e treinamentos presencias, on line e in company envolvendo produção de mudas, silvicultura e manejo nutricional.","Eucalipto, Pinus",3,3,2,2026-01-26T12:29:18.429454+00:00,Navigated to https://rragroflorestal.com.br/; Scrolled down to reveal services section; Extracted service descriptions mentioning wood and pine
Incomatti Biomassa Ltda,https://www.incomatti.com.br/,painel de madeira pinus,FOUND,Empresa trabalha com madeira e especificamente com pinus.,yes,yes,1,100,91,"##### TORAS PINUS
Toras","A empresa trabalha com diversos tipos de madeira, incluindo toras de pinus, teca, eucalipto e madeira tropical. Também oferece pisos, blocos, compensados, biomassa e decking.",10,10,1,2026-01-26T12:15:57.400705+00:00,Navigated to https://www.incomatti.com.br/; Clicked 'PRODUTOS'; Scrolled down the page multiple times; Extracted product information
Repinho Moveis E Paineis Decorativos Ltda - Guarapuava,https://lp.repinho.ind.br/,painel de madeira pinus,FOUND,Empresa trabalha com madeira e painéis de pinus.,yes,yes,1,90,91,"A Repinho foi fundada em 1990, em Guarapuava/PR, por seu sócio-presidente Odacir Antonelli. Desde então, suas atividades são voltadas à fabricação e comercialização de chapas de compensado e MDP (Medium Density Particleboard), principalmente para exportação. A empresa é reconhecida internacionalmente pela qualidade de seus produtos e pela gestão consciente e ecológica das matas reflorestadas de pinus e eucaliptos. [...] Compesados: A primeira unidade do Grupo Repinho está localizada no distrito industrial Guaratu, em Guarapuava, e é dedicada à produção de chapas de compensado para o mercado externo. Utilizando matéria-prima de reflorestamento de pinus, a fábrica produz chapas de várias dimensões e espessuras para diversas finalidades.",A empresa fabrica chapas de compensado utilizando matéria-prima de reflorestamento de pinus e painéis de MDP a partir de partículas de madeira.,2,2,1,2026-01-26T12:23:27.616942+00:00,Navigated to https://lp.repinho.ind.br/; Clicked 'SAIBA MAIS' for REPINHO PAINEIS; Clicked 'SAIBA MAIS' for REPINHO COMPENSADOS; Switched to tab 5C24 (Sobre); Extracted information from the 'Sobre' page.
Wnw Madeiras - Uniao da Vitoria,https://wnwmadeiras.com.br,painel de madeira pinus,FOUND,Informações encontradas sobre produtos de madeira e painéis de pinus.,yes,yes,1,85,91,"PELLETS DE MADEIRA ENplus A1
São fabricados à base de madeira de pinus, garantindo uma elevada qualidade na queima e um poder calorífico superior, sendo o ideal para o aquecimento doméstico em lareiras, salamandras, recuperadores e caldeiras.
Trabalhamos com o melhor da madeira nativa brasileira, atendendo o mercado internacional...","A empresa trabalha com madeiras de alto padrão, madeiras nativas brasileiras e especificamente com pellets de madeira de pinus.",1,1,1,2026-01-26T12:15:24.838382+00:00,Navigated to https://wnwmadeiras.com.br; Clicked on 'Produtos'; Scrolled down; Scrolled down again
Rio Branco Madeiras - Guamiranga,https://madeireirariobranco.com.br,painel de madeira pinus,FOUND,Empresa encontrada que trabalha com madeira e especificamente com painéis de pinus.,yes,yes,1,85,91,"A madeira de pinus é uma alternativa sustentável para componentes essenciais na construção civil. A porosidade desse material permite a aplicação de tratamentos e dos mais variados acabamentos. A empresa respeita leis ambientais e licenças que cobrem toda a cadeia produtiva da madeira, desde o plantio até a venda de produtos e subprodutos de madeira de cambará e madeira de pinus.","A empresa trabalha com madeira de cambará e madeira de pinus, oferecendo componentes estruturais e itens para acabamento.",1,1,1,2026-01-26T12:22:14.143371+00:00,Navigated to https://madeireirariobranco.com.br; Extracted information about 'MADEIRA DE PINUS' section.
Mow Brazil Comercial Importadora E Exportadora - Foz do Iguacu,https://mowbrazil.com/pt/,painel de madeira pinus,FOUND,"Empresa trabalha com madeira, incluindo pinus.",yes,yes,1,85,91,"PINUS ELIOTTI/TAEDA
MOW Brazil is a company specialized in sawn wood from sustainable reforestation (Pine & Eucalyptus). Quality, sustainability and reliability are the values .",MOW Brazil é especializada em madeira serrada de reflorestamento sustentável (Pinus e Eucalipto).,1,1,1,2026-01-26T12:35:10.394874+00:00,Navigated to https://mowbrazil.com/pt/; Clicked 'LUMBER'; Scrolled down 1600px
Mow Brazil Ltda - Foz do Iguacu,https://mowbrazil.com/pt/,painel de madeira pinus,FOUND,Empresa encontrada que trabalha com madeira e painéis de pinus.,yes,yes,1,85,91,"MOW Brazil is a company specialized in sawn wood from sustainable reforestation (Pine & Eucalyptus). Quality, sustainability and reliability are the values that guide us to ensure our costumer’s satisfaction. Extensive experience in the Brazilian Forest Sector and international logistics, reinforce our capacity to build sustainable global trade connections, delivering value and quality worldwide.

LUMBER
Well managed planted forest to ensure sustainability and the best quality for our customers.

PINUS ELIOTTI/TAEDA
MOW Brazil is a company specialized in sawn wood from sustainable reforestation (Pine & Eucalyptus). Quality, sustainability and reliability are the values .",Sawn wood from sustainable reforestation (Pine & Eucalyptus),1,1,1,2026-01-26T12:38:21.241142+00:00,Navigated to https://mowbrazil.com/pt/; Clicked on 'LUMBER' link.; Extracted information about 'PINUS ELIOTTI/TAEDA'.
Incomatti Florestal Ltda - Fazenda Rio Grande,https://www.incomatti.com.br,painel de madeira pinus,FOUND,"Empresa trabalha com madeiras, incluindo pinus.",yes,yes,1,80,91,"Algumas espécies como: Ipê, Jatobá, Cumaru, Freijo, Muiracatiara, Massaranduba, Muirapiranga, Angelin, Kurupay, Kuruguay, Palo Santo, Cabreuva, Cabrueva Parda, Kabukalli, Tatajuba, Itauba, Kelebashout, Garapeira, Mogno (mahogany), African mahogany, Padouk, Douka, Teca, Iroko, Sapele, Sipo, Bahia, Ayous, Eyong, Wawa, Wenge, Ebony, Olive wood, Cocobolo, Granadillo, Rosewood, Solomon Padouk, Sucupira, Oak (White/Red), Black Walnut, Cherry, Cerejeira, Cedro, Nogal, Chanul, Gmelina, Mapple, Pino Caribe, Rubberwood e muitas outras espécies.","A Incomatti Madeiras Ltda trabalha com diversas espécies de madeiras brutas, AD, KD ou beneficiada, fornecendo mais de 10.000,00m³ ao redor do mundo. Eles possuem fábricas no Sul do Brasil e trabalham com parceiros globais. A empresa prioriza a preservação ambiental e oferece madeiras certificadas (FSC ou Smatwood). A lista de espécies inclui 'Pino Caribe', indicando trabalho com pinus.",1,1,1,2026-01-26T12:21:28.109244+00:00,Navigated to https://www.incomatti.com.br; Clicked on PRODUTOS; Clicked on MADEIRAS; Extracted information from https://www.incomatti.com.br/madeiras/; Re-extracted information from https://www.incomatti.com.br/madeiras/ to get 'Pino Caribe'
