nm_empresa,website_url,query,status,message_pt,works_with_wood,works_with_pine_panel,pine_panel_flag,confidence_wood,confidence_pine_panel,evidence_snippet,materials_summary,item_count_total,item_count_wood_related,item_count_mentions_pinus,run_at,attempts
Faganello Industria De Compensados Ltda - Sao Jose dos Ausentes,https://faganellocompensados.com.br/,painel de madeira pinus,FOUND,Empresa encontrada com informações sobre produtos de madeira e pinus.,yes,yes,1,100,100,"Trabalhamos com diversos tipos de compensado, todos de alta qualidade para proporcionar um melhor desempenho em sua utilização.

Compensado Naval Plastificado 120gr

Compensado Resinado Cola Branca (Pinus)

Plywood WBP Pinus Elliots C+/C OE&S ou C+/C+ OE&S

Plywood WBP Pinus Elliots CDX Sheating","A empresa trabalha com diversos tipos de compensados, incluindo Compensado Naval Plastificado, Compensado Resinado Cola Branca (Pinus), Plywood WBP Pinus Elliots C+/C OE&S ou C+/C+ OE&S, e Plywood WBP Pinus Elliots CDX Sheating. Alguns produtos mencionam especificamente Pinus e utilizam resinas e cola branca.",4,4,3,2026-01-26T17:39:17.896770+00:00,Navigated to https://faganellocompensados.com.br/; Accepted cookie consent; Extracted product list information
Brazilian Pine,https://brazilianpine.com.br/,painel de madeira pinus,FOUND,"A Brazilian Pine é uma empresa especializada na exportação de produtos derivados de pinus. Trabalham com diversos produtos de madeira, incluindo painéis, batentes, vigas e molduras, todos feitos de pinus. Eles especificam os tipos de pinus Elliottii e Taeda e mencionam explicitamente ""Painéis de pinus"".",yes,yes,1,100,100,"A Brazilian Pine é uma empresa especializada na exportação de produtos derivados de pinus, destacando-se pela qualidade e sustentabilidade de seus painéis, batentes, vigas e molduras.","Pinus (Elliottii e Taeda), plástico laminado",6,6,6,2026-01-26T17:42:48.287507+00:00,Navigated to https://brazilianpine.com.br/; Accepted cookies; Extracted product information using query 'painel de madeira pinus'
Totalita Industria De Moveis - Restinga Seca,www.totalita.com.br,painel de madeira pinus,FOUND,"A empresa utiliza madeira de Pinus e MDF em seus produtos, com foco em Pinus 100% oriundo de reflorestamento.",yes,yes,1,100,100,Todos nossos produtos são feitos com madeira de Pinus ou MDF. Uma madeira 100% oriunda de Reflorestamento.,"A empresa utiliza madeira de Pinus e MDF em seus produtos, com foco em Pinus 100% oriundo de reflorestamento.",6,6,6,2026-01-26T18:48:05.012235+00:00,Navigated to www.totalita.com.br and found explicit mentions of Pinus wood in product descriptions and company information.
Piomade Industria De Madeiras Ltda - Farroupilha,https://www.piomade.com.br/,painel de madeira pinus,FOUND,Empresa trabalha com madeira e especificamente com painéis de madeira de Pinus.,yes,yes,1,95,100,"Piomade, o uso nobre da madeira! Produzindo diferentes produtos, utilizando como matéria prima, a madeira de reflorestamento, o Pinus, possuímos uma linha de produção altamente eficiente, onde todo o matéria-prima florestal é aproveitado, sem geração de resíduos.","A empresa utiliza madeira de reflorestamento, especificamente Pinus, e produz painéis de madeira.",3,3,3,2026-01-26T17:38:18.261050+00:00,Navigated to https://www.piomade.com.br/; Extracted information from the homepage.
Haas Trader Importadora E Exportadora Ltda - Venancio Aires,https://haastrader.com,pellets de madeira pinus,FOUND,"A empresa Haas Trader Importadora E Exportadora Ltda trabalha com produtos à base de madeira, especificamente pinus (coníferas). Os produtos listados são HAAS PELLETS, SUDAMERICA PELLETS e RIO GRANDE PELLETS, todos feitos de madeira virgem plantada de coníferas.",yes,yes,1,95,100,"Pellets de pura maravalha e serragem de coníferas virgens plantadas, descascada e selecionada, sem impurezas e sem adição de aditivos: altíssimo poder calorífico e baixíssimo resíduo.
Pellets de madeira virgem premium com certificação FSC®, produzidos a partir de árvores de coníferas plantadas no sul do Brasil para um calor incomparável, caracterizado pela facilidade de ignição e alta produção de calor.
Pellets premium de madeira de coníferas virgens plantadas com grande poder calorífico, graças à baixíssima umidade e excelente capacidade de combustão.",Os produtos são feitos de madeira virgem plantada de coníferas (pinus).,3,3,3,2026-01-26T18:17:48.250636+00:00,Navigated to https://haastrader.com; Clicked on 'Produtos' link; Extracted product details from the 'Produtos' page
Pr-Madeireira Mato Grosso Ltda - Torres,http://www.matogrossomadeireira.com.br/,painel de madeira pinus,FOUND,Informações sobre produtos encontradas.,yes,yes,1,100,97,"Trabalhamos com produtos beneficiados e industrializados de primeira qualidade: Tabuados, Vigamentos, Pontaletes, Madeirites/OSB, Portas e Janelas, Batentes e Guarnições, Ferragens Decks, Forros e Lambris, Portões sob medida,Telhas, Ferramentas, Acessórios e mais! Conheça por e-mail ou telefone: (13) 3311-7008 - Whatsapp (13) 98884-1907, Whatsapp (13) 33119315. Produtos Madeiramento Muiracatiara Cambará Pinus Eucalipto Cedrinho Amescla Portas Lisas Maciças","A empresa trabalha com diversos tipos de madeira, incluindo pinus, e oferece produtos como madeiramento, pisos de madeira, portas, janelas, batentes e guarnições.",20,13,2,2026-01-26T17:50:03.415425+00:00,Navigated to http://www.matogrossomadeireira.com.br/; Extracted product information from the 'Produtos' section.
Pep Moveis E Madeira Ltda - Vacaria,https://pepmoveis.com/,painel de madeira pinus,FOUND,Informações sobre produtos de madeira encontradas.,yes,yes,1,100,91,"Especializados em móveis de pinus maciço, desenvolvemos peças que combinam design com as necessidades de nossos clientes, sempre valorizando parcerias e projetos personalizados.
Exportando móveis, madeira e painéis com responsabilidade ambiental
A PeP Móveis e Madeira destaca seu compromisso com a sustentabilidade e o desenvolvimento regional ao cultivar suas próprias florestas e apoiar produtores locais. Cada floresta gera, no mínimo, três colheitas, e a madeira colhida é cuidadosamente classificada para ser utilizada como matéria-prima na fabricação dos móveis e produtos de madeira, todos produzidos pela própria PeP Móveis. Parte dessa madeira também é direcionada para fábricas de papel e celulose, painéis reconstituídos e energia renovável. Além disso, a empresa garante que todos os resíduos gerados durante a produção sejam reaproveitados como insumos para essas indústrias, reafirmando seu compromisso com a preservação do meio ambiente.","A empresa trabalha com móveis de pinus maciço, madeira e painéis. A madeira é proveniente de reflorestamento e utilizada na fabricação de móveis e outros produtos de madeira. Também fornecem madeira para indústrias de papel e celulose, painéis reconstituídos e energia renovável.",10,10,1,2026-01-26T17:25:55.638351+00:00,Extracted product information from https://pepmoveis.com/.
Roloff Comercio De Tintas Ltda - Gramado,https://roloffgramado.com/,painel de madeira pinus,FOUND,"Empresa trabalha com madeira, incluindo Pinus.",yes,yes,1,100,91,"Oferecemos em nossa gama de produtos, madeiras como a Grápia ou Garapeira, Pinheiro, Eucalipto e Pinus, estes inclusive autoclavados.","A empresa oferece madeiras como Grápia, Garapeira, Pinheiro, Eucalipto e Pinus, incluindo opções autoclavadas. Eles trabalham com madeiras brutas e beneficiadas para construção, telhados, decoração, além de produtos acabados como assoalhos, forros, paredes, decks, rodapés, guarnições e barrotilhos.",4,4,1,2026-01-26T18:44:05.086683+00:00,Navigated to https://roloffgramado.com/; Clicked on 'MADEIRA' link; Extracted wood product information from https://roloffgramado.com/madeira/
Madeireira Tarumã - Viamao,https://madeireirataruma.com.br/,painel de madeira pinus,FOUND,Informações sobre produtos de madeira e pinus encontradas.,yes,yes,1,95,91,"Madeira (Wood)
* Pinus
* Pinus seco (Dry Pine)
* Eucalipto (Eucalyptus)
* Cedrinho (Cedar)","A empresa trabalha com madeira, incluindo Pinus (seco e não seco), Eucalipto e Cedrinho. Também oferece produtos em aço, alumínio e pisos de concreto estilo madeira.",3,3,1,2026-01-26T18:32:04.223384+00:00,Navigated to https://madeireirataruma.com.br/; Closed pop-up; Clicked 'Serviços'; Clicked 'Ver mais' for 'Madeira'; Extracted from 'madeira' page (no specific product info); Scrolled on 'madeira' page; Extracted from 'madeira' page again (no specific product info); Navigated back to 'Serviços' (blank page); Navigated back to main page; Extracted from main page
Santella Acessorios Para Moveis Ltda - Nova Padua,https://www.santellafix.com.br/,painel de madeira pinus,FOUND,"Informações sobre produtos de madeira, incluindo pinus e eucalipto, encontradas.",yes,yes,1,90,91,"A Santella Acessórios para Móveis foi fundada em 2001 no município de Nova Pádua - RS. Especializada na produção de cavilhas de madeira para montagem de móveis, a Santella Fix transforma madeira serrada de pinus e eucalipto em cavilhas de alta resistência e acabamento superior.

Cavilhas de Pinus
Características: Madeira leve, macia, de cor clara e com fibras longas.
Vantagens: Fácil de trabalhar e cortar, bom acabamento e aceita bem vernizes e tingimentos, proporcionando um visual mais claro e rústico.
Aplicações: Móveis, decoração, construção civil e peças internas.","A empresa produz cavilhas de madeira de pinus e eucalipto. As cavilhas de pinus são descritas como leves, macias, de cor clara e com fibras longas, fáceis de trabalhar e com bom acabamento. As cavilhas de eucalipto são mais duras, densas e pesadas, com alta resistência e durabilidade. As aplicações para pinus incluem móveis, decoração e construção civil. As aplicações para eucalipto incluem estruturas, pisos, vigas e móveis que exigem firmeza.",2,2,1,2026-01-26T17:47:45.835795+00:00,"Navigated to https://www.santellafix.com.br/; Extracted information about wood products, specifically pine and eucalyptus dowels."
