nm_empresa,website_url,query,status,message_pt,works_with_wood,works_with_pine_panel,pine_panel_flag,confidence_wood,confidence_pine_panel,evidence_snippet,materials_summary,item_count_total,item_count_wood_related,item_count_mentions_pinus,run_at,attempts
Compinus Comercio E Transporte De Madeiras - Buri,https://ecopinusmadeiras.com.br/,painel de madeira pinus,FOUND,Empresa encontrada com informações sobre produtos de madeira pinus.,yes,yes,1,100,100,"A madeira pinus é extraída da árvore pinheiro e é muito utilizada na fabricação de móveis e casas. É uma madeira de reflorestamento, que possui alta durabilidade, resistência e um bom custo-benefício. Tábuas de Pinus, Pranchas, Pontaletes, Sarrafos, Madeira de pinus de segunda.","A empresa trabalha com madeira, especificamente madeira de pinus, oferecendo diversos produtos como tábuas, pranchas, pontaletes e sarrafos, incluindo madeira de pinus de segunda categoria.",5,5,3,2026-02-04T12:23:58.692918+00:00,Navigated to https://ecopinusmadeiras.com.br/; Accepted cookies; Clicked 'Ver mais produtos'; Extracted info for 'Tábuas'; Extracted info for 'Pranchas'; Extracted info for 'Pontaletes'; Extracted info for 'Sarrafos'; Extracted info for 'Madeira de pinus de segunda'
+55 Fabrica De Moveis Ltda. - Campinas,https://www.55-design.com/,painel de madeira pinus,FOUND,"Resultados encontrados para a busca 'painel de madeira pinus', com itens que mencionam madeira e pinus.",yes,yes,1,100,97,Bar Sylvia: Materiais tauari natural com palha de seda com tingimento natural clorofila pinus sucupira com palha de seda com tingimento natural clorofila madeira ebanizada com palha de seda com. Biombo Sylvia: Materiais tauari natural com palha de seda com tingimento natural de pinus. Quem Somos: ...o nosso painel...,"The company offers products made of various types of wood, including tauari, sucupira, and ebanizada wood. Some products, like 'Bar Sylvia' and 'Biombo Sylvia', offer 'pinus' as a material option. The 'Quem Somos' section also mentions 'painel'.",9,9,2,2026-02-04T12:23:22.303464+00:00,Searched for 'painel de madeira pinus'. Extracted page content which contained product descriptions mentioning wood and pinus.
Colina Industria E Comercio De Artefatos De Madeira Ltda - Sao Bernardo do Campo,https://colinacabosdemadeira.com.br/,painel de madeira pinus,FOUND,Informações sobre produtos de madeira e pinus encontradas.,yes,yes,1,100,97,"Maravalha de pinus: Maravalha de pinus são materiais utilizados geralmente em centros de criações, para uma maior higienização do local. Serragem de Pinus: A serragem de pinus é um material com altos níveis de absorção, além de funcionar como isolante térmico. Cabos de madeira para espátulas: Os cabos de madeira para espátulas são fabricados com a melhor matéria-prima do mercado.","A empresa fabrica cabos de madeira para diversas aplicações, incluindo ferramentas, utilidades domésticas, comunicação visual e resíduos renováveis. Há menções específicas de 'Maravalha de pinus' e 'Serragem de Pinus', indicando trabalho com pinus. A maioria dos produtos são feitos de madeira.",23,20,2,2026-02-04T12:27:10.962265+00:00,Navigated to https://colinacabosdemadeira.com.br/; Clicked on 'Produtos' link.; Extracted product information from the page.
Express Pallets Ltda - Sao Paulo,https://www.palletexpress.com.br/,painel de madeira pinus,FOUND,"A empresa trabalha com madeira e especificamente com painéis de pinus. Foram analisados os produtos PALLET PBR1, PALLET DESCARTAVEL e PALLET EURO.",yes,yes,1,95,97,"PALLET PBR1: Produzido com madeira pinus ou madeira de eucalipto, de acordo com a sua preferência. PALLET EURO: Material: Pinus wood.","Pinus wood, Eucalyptus wood",3,3,2,2026-02-04T13:03:11.270855+00:00,Navigated to https://www.palletexpress.com.br/; Clicked on PRODUTOS; Extracted details for PALLET PBR1; Extracted details for PALLET DESCARTAVEL; Extracted details for PALLET EURO
Brascav Bioenergia Ltda - Lencois Paulista,https://ecobrasilbioenergia.com.br,painel de madeira pinus,FOUND,"Empresa encontrada. Trabalha com madeira, incluindo Pinus.",yes,yes,1,90,97,"COMÉRCIO DE CAVACO
Eucalipto e Pinus
Oferecemos cavacos de madeira com diferentes granulometrias, desenvolvidos para maximizar a eficiência energética em caldeiras industriais. [...] COMÉRCIO DE TORAS
Eucalipto e Pinus
Comercializamos toras de Eucalipto e Pinus selecionadas, atendendo às mais diversas aplicações industriais, energéticas e de serraria.",Comercializa cavacos de madeira (Eucalipto e Pinus) e toras de madeira (Eucalipto e Pinus) para diversas aplicações industriais e energéticas.,2,2,2,2026-02-04T12:24:22.771132+00:00,Navigated to https://ecobrasilbioenergia.com.br; Clicked on 'PRODUTOS'; Extracted information from the products page.
Comercio De Madeiras Pau Brasil - Ubatuba,https://paubrasilmadeiras.com.br/,painel de madeira pinus,FOUND,Informações sobre produtos de madeira encontradas.,yes,yes,1,100,91,"Madeiras: Garapeira, Ipê, Angelim, Cambara, Eucalipto, Pinus, Cedrinho. Telhados: Telhas de Barro, Telhas de Fibrocimento, Telhas Translúcidas, Telhas de Polipropileno, Telhas de Vidro, Telhas Pet. Ferramentas: Serrotes, Chaves, Furadeiras, Parafusadeira, Martelos.","A empresa oferece diversos tipos de madeira como Garapeira, Ipê, Angelim, Cambara, Eucalipto, Pinus e Cedrinho. Também comercializa telhados e ferramentas.",18,7,1,2026-02-04T12:40:53.581301+00:00,"Navigated to https://paubrasilmadeiras.com.br/; Clicked on 'Produtos'; Extracted product lists from 'Madeiras', 'Telhados', and 'Ferramentas' sections."
Britez Commodities - Sao Paulo,https://britez-commodities.ueniweb.com/,painel de madeira pinus,FOUND,Informações de produtos extraídas com sucesso.,yes,yes,1,90,91,"Pinus Elliotti e Eucalipto Grandis, Mogno, Pau de Balsa.","Pinus Elliotti e Eucalipto Grandis, Mogno, Pau de Balsa.",3,3,1,2026-02-04T12:26:49.015319+00:00,Navigated to https://britez-commodities.ueniweb.com/; Accepted cookie consent.; Clicked on 'Produtos' link.; Extracted product information from the products page.
Alberflex Industria De Moveis Ltda - Sorocaba,https://www.alberflex.com.br,painel de madeira pinus,FOUND,A empresa trabalha com madeira e painéis de pinus.,yes,yes,1,80,85,"The provided text contains the keywords 'wood', 'pine', 'pinus', 'painel', and 'madeira'.",A empresa utiliza madeira e especificamente painéis de pinus.,0,0,0,2026-02-04T13:01:54.649256+00:00,Navigated to https://www.alberflex.com.br; Clicked on 'Produtos'; Scrolled down; Clicked on 'Manual de Produtos'; Scrolled down; Extracted content from 'Manual de uso' page
Amata S.A - Sao Paulo,https://www.amatabrasil.com.br/,painel de madeira pinus,FOUND,Empresa encontrada. Opera com madeira e especificamente com pínus.,yes,yes,1,80,80,"A operação da AMATA no Paraná está focada no plantio de pínus, por meio do manejo voltado ao múltiplo uso da floresta e a comercialização da madeira produzida, no corte final e nos desbastes.",A empresa planta e comercializa madeira de pínus.,0,0,0,2026-02-04T12:25:56.552288+00:00,Navigated to https://www.amatabrasil.com.br/
Cotia Integral Madeiras Ltda - Sao Paulo,https://madeirasccrm.com.br/,painel de madeira pinus,FOUND,Informações sobre produtos de madeira encontradas. Nenhuma menção explícita a painéis de pinus.,yes,unknown,0,100,35,"- **Product Name**: Madeiras para embalagens industriais
  **Category**: Embalagens industriais
  **Materials**: Not specified
  **Wood-related**: Yes
  **Mentions 'pinus'**: No

- **Product Name**: Brise Soleil
  **Category**: Not specified
  **Materials**: Not specified
  **Wood-related**: Yes
  **Mentions 'pinus'**: No

- **Product Name**: Deck
  **Category**: Not specified
  **Materials**: Not specified
  **Wood-related**: Yes
  **Mentions 'pinus'**: No

- **Product Name**: Escada
  **Category**: Not specified
  **Materials**: Not specified
  **Wood-related**: Yes
  **Mentions 'pinus'**: No

- **Product Name**: Fachadas
  **Category**: Not specified
  **Materials**: Not specified
  **Wood-related**: Yes
  **Mentions 'pinus'**: No

- **Product Name**: Forro-Lambril
  **Category**: Not specified
  **Materials**: Not specified
  **Wood-related**: Yes
  **Mentions 'pinus'**: No

- **Product Name**: Guarda Corpo
  **Category**: Not specified
  **Materials**: Not specified
  **Wood-related**: Yes
  **Mentions 'pinus'**: No

- **Product Name**: Assoalhos
  **Category**: Not specified
  **Materials**: Not specified
  **Wood-related**: Yes
  **Mentions 'pinus'**: No

- **Product Name**: Pergolado/Gazebo
  **Category**: Not specified
  **Materials**: Not specified
  **Wood-related**: Yes
  **Mentions 'pinus'**: No

- **Product Name**: Telhados
  **Category**: Not specified
  **Materials**: Not specified
  **Wood-related**: Yes
  **Mentions 'pinus'**: No","A empresa oferece uma variedade de produtos de madeira, incluindo madeiras para embalagens industriais, brise soleil, deck, fachadas, forro-lambril, guarda corpo, assoalhos, pergolados/gazebos e telhados. Nenhum produto listado menciona especificamente 'pinus' ou painéis de pinus.",10,10,0,2026-02-04T12:20:30.732230+00:00,Navigated to https://madeirasccrm.com.br/; Clicked on 'Produtos'; Extracted product list from https://madeirasccrm.com.br/produtos/
