nm_empresa,website_url,run_at,product_category,product_name,materials,is_wood_related,mentions_pinus,source_hint
Brazilian Pine,https://brazilianpine.com.br/,2026-01-26T17:42:48.287507+00:00,Painéis,Painéis,pinus,yes,yes,Painéis
Brazilian Pine,https://brazilianpine.com.br/,2026-01-26T17:42:48.287507+00:00,Batentes,Batentes,pinus,yes,yes,Batentes
Brazilian Pine,https://brazilianpine.com.br/,2026-01-26T17:42:48.287507+00:00,Vigas,Vigas,pinus,yes,yes,Vigas
Brazilian Pine,https://brazilianpine.com.br/,2026-01-26T17:42:48.287507+00:00,Molduras,Molduras,pinus,yes,yes,Molduras
Brazilian Pine,https://brazilianpine.com.br/,2026-01-26T17:42:48.287507+00:00,Molduras,Molduras e perfis com laminado plástico,"pinus, plástico laminado",yes,yes,Molduras e perfis com laminado plástico
Brazilian Pine,https://brazilianpine.com.br/,2026-01-26T17:42:48.287507+00:00,Strair parts,Strair parts - Tread & Riser,pinus,yes,yes,Strair parts - Tread & Riser
Faganello Industria De Compensados Ltda - Sao Jose dos Ausentes,https://faganellocompensados.com.br/,2026-01-26T17:39:17.896770+00:00,,Compensado Resinado Cola Branca (Pinus),"Resined, White Glue",yes,yes,Compensado Resinado Cola Branca (Pinus)
Faganello Industria De Compensados Ltda - Sao Jose dos Ausentes,https://faganellocompensados.com.br/,2026-01-26T17:39:17.896770+00:00,,Plywood WBP Pinus Elliots C+/C OE&S ou C+/C+ OE&S,WBP (Water Boil Proof),yes,yes,Plywood WBP Pinus Elliots C+/C OE&S ou C+/C+ OE&S
Faganello Industria De Compensados Ltda - Sao Jose dos Ausentes,https://faganellocompensados.com.br/,2026-01-26T17:39:17.896770+00:00,,Plywood WBP Pinus Elliots CDX Sheating,"WBP (Water Boil Proof), CDX",yes,yes,Plywood WBP Pinus Elliots CDX Sheating
Finger Ambientes Personalizados - Sarandi,https://finger.ind.br/,2026-01-26T17:56:00.556018+00:00,,painel de madeira pinus,Not specified,yes,yes,Você pesquisou por painel de madeira pinus - Finger Móveis Planejados
Haas Trader Importadora E Exportadora Ltda - Venancio Aires,https://haastrader.com,2026-01-26T18:17:48.250636+00:00,Pellets,HAAS PELLETS,"Pura maravalha e serragem de coníferas virgens plantadas, descascada e selecionada, sem impurezas e sem adição de aditivos.",yes,yes,https://haastrader.com/produtos/
Haas Trader Importadora E Exportadora Ltda - Venancio Aires,https://haastrader.com,2026-01-26T18:17:48.250636+00:00,Pellets,SUDAMERICA PELLETS,Madeira virgem premium produzida a partir de árvores de coníferas plantadas.,yes,yes,https://haastrader.com/produtos/
Haas Trader Importadora E Exportadora Ltda - Venancio Aires,https://haastrader.com,2026-01-26T18:17:48.250636+00:00,Pellets,RIO GRANDE PELLETS,Madeira de coníferas virgens plantadas.,yes,yes,https://haastrader.com/produtos/
Klabin S.A. - Sao Francisco de Paula,https://klabin.com.br/,2026-01-26T17:39:40.857119+00:00,Matéria-Prima,Celulose e Papel,Madeira (pínus e eucalipto),yes,yes,Matéria-Prima page
Madeireira Tarumã - Viamao,https://madeireirataruma.com.br/,2026-01-26T18:32:04.223384+00:00,Madeira,Madeira,"Pinus, Pinus seco, Eucalipto, Cedrinho",yes,yes,Main page extraction
Mow Brazil Co Ltda - Porto Alegre,https://mowbrazil.com/pt/,2026-01-26T18:02:28.715635+00:00,Madeira Serrada,PINUS ELIOTTI/TAEDA,Pinus Eliotti/Taeda,yes,yes,https://mowbrazil.com/pt/#lumber
Mow Brazil Ltda - Porto Alegre,https://mowbrazil.com/pt/,2026-01-26T18:06:55.593341+00:00,Sawn wood,PINUS ELIOTTI/TAEDA,Sawn wood from sustainable reforestation (Pine),yes,yes,https://mowbrazil.com/#lumber
Pep Moveis E Madeira Ltda - Vacaria,https://pepmoveis.com/,2026-01-26T17:25:55.638351+00:00,,Móveis,Madeira,yes,yes,"Especializados em móveis de pinus maciço, desenvolvemos peças que combinam design com as necessidades de nossos clientes, sempre valorizando parcerias e projetos personalizados."
Piomade Industria De Madeiras Ltda - Farroupilha,https://www.piomade.com.br/,2026-01-26T17:38:18.261050+00:00,Madeira Serrada,Piomade Madeira Serrada,Madeira de reflorestamento (Pinus),yes,yes,Homepage section: Piomade Madeira Serrada
Piomade Industria De Madeiras Ltda - Farroupilha,https://www.piomade.com.br/,2026-01-26T17:38:18.261050+00:00,Painéis de Madeira,Piomade Painéis de Madeira,Madeira de reflorestamento (Pinus),yes,yes,Homepage section: Piomade Painéis de Madeira
Piomade Industria De Madeiras Ltda - Farroupilha,https://www.piomade.com.br/,2026-01-26T17:38:18.261050+00:00,Pellet,Piomade Pellet,Madeira de reflorestamento (Pinus),yes,yes,Homepage section: Piomade Pellet
Pr-Madeireira Mato Grosso Ltda - Torres,http://www.matogrossomadeireira.com.br/,2026-01-26T17:50:03.415425+00:00,Madeiramento,Madeiramento,"Muiracatiara, Cambará, Pinus, Eucalipto, Cedrinho Amescla",yes,yes,Produtos
Pr-Madeireira Mato Grosso Ltda - Torres,http://www.matogrossomadeireira.com.br/,2026-01-26T17:50:03.415425+00:00,Madeiramento,Pinus,Pinus,yes,yes,Produtos
Roloff Comercio De Tintas Ltda - Gramado,https://roloffgramado.com/,2026-01-26T18:44:05.086683+00:00,Madeira,Pinus,Pinus,yes,yes,https://roloffgramado.com/madeira/
Roloff Materiais De Construcao Ltda - Gramado,https://roloffgramado.com/,2026-01-26T18:39:59.432786+00:00,Piso,Assoalhos,Madeira,yes,yes,Madeiras
Roloff Materiais De Construcao Ltda - Gramado,https://roloffgramado.com/,2026-01-26T18:39:59.432786+00:00,Revestimento,Forros,Madeira,yes,yes,Madeiras
Roloff Materiais De Construcao Ltda - Gramado,https://roloffgramado.com/,2026-01-26T18:39:59.432786+00:00,Revestimento,Paredes,Madeira,yes,yes,Madeiras
Roloff Materiais De Construcao Ltda - Gramado,https://roloffgramado.com/,2026-01-26T18:39:59.432786+00:00,Área Externa,Decks,Madeira,yes,yes,Madeiras
Roloff Materiais De Construcao Ltda - Gramado,https://roloffgramado.com/,2026-01-26T18:39:59.432786+00:00,Acabamento,Rodapés,Madeira,yes,yes,Madeiras
Roloff Materiais De Construcao Ltda - Gramado,https://roloffgramado.com/,2026-01-26T18:39:59.432786+00:00,Acabamento,Guarnições,Madeira,yes,yes,Madeiras
Roloff Materiais De Construcao Ltda - Gramado,https://roloffgramado.com/,2026-01-26T18:39:59.432786+00:00,Estrutura,Barrotilhos,Madeira,yes,yes,Madeiras
Roloff Materiais De Construcao Ltda - Gramado,https://roloffgramado.com/,2026-01-26T18:39:59.432786+00:00,Madeira,Pinus Autoclavado,Pinus Autoclavado,yes,yes,Madeiras
Santella Acessorios Para Moveis Ltda - Nova Padua,https://www.santellafix.com.br/,2026-01-26T17:47:45.835795+00:00,Cavilhas,Cavilhas de Pinus,Pinus,yes,yes,Section 'Cavilhas de Pinus'
Sul Modulos - Porto Alegre,https://sulmodulos.com.br/,2026-01-26T18:24:16.226684+00:00,Acabamentos Internos,Ripados em madeira pinus,Madeira Pinus,yes,yes,Acabamentos Internos section
Totalita Industria De Moveis - Restinga Seca,www.totalita.com.br,2026-01-26T18:48:05.012235+00:00,Beliches,Beliche Infantil,Pinus,yes,yes,Beliche Infantil
Totalita Industria De Moveis - Restinga Seca,www.totalita.com.br,2026-01-26T18:48:05.012235+00:00,,Tota O 001/03,Pinus ou MDF,yes,yes,Tota O 001/03
Totalita Industria De Moveis - Restinga Seca,www.totalita.com.br,2026-01-26T18:48:05.012235+00:00,,B 087,Pinus ou MDF,yes,yes,B 087
Totalita Industria De Moveis - Restinga Seca,www.totalita.com.br,2026-01-26T18:48:05.012235+00:00,,C 035,Pinus ou MDF,yes,yes,C 035
Totalita Industria De Moveis - Restinga Seca,www.totalita.com.br,2026-01-26T18:48:05.012235+00:00,,B 014,Pinus ou MDF,yes,yes,B 014
Totalita Industria De Moveis - Restinga Seca,www.totalita.com.br,2026-01-26T18:48:05.012235+00:00,,B 090,Pinus ou MDF,yes,yes,B 090
Artimec- Mecanismos Articulados Ltda - Garibaldi,https://www.artimec.com.br,2026-01-26T18:03:31.573655+00:00,,Base Giratória 5 Hastes Reta,Wood,yes,no,Base Giratória 5 Hastes Reta
Artimec- Mecanismos Articulados Ltda - Garibaldi,https://www.artimec.com.br,2026-01-26T18:03:31.573655+00:00,,Base Giratória 4 Hastes | Pirâmide,Wood,yes,no,Base Giratória 4 Hastes | Pirâmide
Artimec- Mecanismos Articulados Ltda - Garibaldi,https://www.artimec.com.br,2026-01-26T18:03:31.573655+00:00,,Base Giratória 4 Hastes | Pirâmide,Wood,yes,no,Base Giratória 4 Hastes | Pirâmide
Artimec- Mecanismos Articulados Ltda - Garibaldi,https://www.artimec.com.br,2026-01-26T18:03:31.573655+00:00,,Base Giratória 4 Hastes | Trapezoidal,Wood,yes,no,Base Giratória 4 Hastes | Trapezoidal
Artimec- Mecanismos Articulados Ltda - Garibaldi,https://www.artimec.com.br,2026-01-26T18:03:31.573655+00:00,,Sistema Giratório para Pé Palito | Terminal Redondo,Wood,yes,no,Sistema Giratório para Pé Palito | Terminal Redondo
Artimec- Mecanismos Articulados Ltda - Garibaldi,https://www.artimec.com.br,2026-01-26T18:03:31.573655+00:00,,Base 5 Hastes Retas,Wood,yes,no,Base 5 Hastes Retas
Artimec- Mecanismos Articulados Ltda - Garibaldi,https://www.artimec.com.br,2026-01-26T18:03:31.573655+00:00,,Base 5 Hastes Retas,Wood,yes,no,Base 5 Hastes Retas
Artimec- Mecanismos Articulados Ltda - Garibaldi,https://www.artimec.com.br,2026-01-26T18:03:31.573655+00:00,,Requadro,Wood,yes,no,Requadro
Artimec- Mecanismos Articulados Ltda - Garibaldi,https://www.artimec.com.br,2026-01-26T18:03:31.573655+00:00,,Pé Apoio Madeira,Wood,yes,no,Pé Apoio Madeira
Artimec- Mecanismos Articulados Ltda - Garibaldi,https://www.artimec.com.br,2026-01-26T18:03:31.573655+00:00,,Pé Madeira - Haste 40 mm,Wood,yes,no,Pé Madeira - Haste 40 mm
