nm_empresa,website_url,run_at,product_category,product_name,materials,is_wood_related,mentions_pinus,source_hint
Seleme Materiais De Construcao Limitada - Cacador,https://temp.selemewood.com.br/,2026-02-23T12:10:56.980040+00:00,Wood,BASEBOARD,wood,yes,no,Product category
Seleme Materiais De Construcao Limitada - Cacador,https://temp.selemewood.com.br/,2026-02-23T12:10:56.980040+00:00,Wood,CROWN,wood,yes,no,Product category
Seleme Materiais De Construcao Limitada - Cacador,https://temp.selemewood.com.br/,2026-02-23T12:10:56.980040+00:00,Wood,DOOR STILE,wood,yes,no,Product category
Seleme Materiais De Construcao Limitada - Cacador,https://temp.selemewood.com.br/,2026-02-23T12:10:56.980040+00:00,Wood,BRICKMOULD,wood,yes,no,Product category
Seleme Materiais De Construcao Limitada - Cacador,https://temp.selemewood.com.br/,2026-02-23T12:10:56.980040+00:00,Wood,PAINEL,wood,yes,no,Product category
Seleme Materiais De Construcao Limitada - Cacador,https://temp.selemewood.com.br/,2026-02-23T12:10:56.980040+00:00,Wood,DOOR STOP,wood,yes,no,Product category
Seleme Materiais De Construcao Limitada - Cacador,https://temp.selemewood.com.br/,2026-02-23T12:10:56.980040+00:00,Wood,STOP,wood,yes,no,Product category
Seleme Materiais De Construcao Limitada - Cacador,https://temp.selemewood.com.br/,2026-02-23T12:10:56.980040+00:00,Wood,SUPERJAMB,wood,yes,no,Product category
Seleme Materiais De Construcao Limitada - Cacador,https://temp.selemewood.com.br/,2026-02-23T12:10:56.980040+00:00,Wood,SPLIT JAMB,wood,yes,no,Product category
Seleme Materiais De Construcao Limitada - Cacador,https://temp.selemewood.com.br/,2026-02-23T12:10:56.980040+00:00,Wood,CASING,wood,yes,no,Product category
Seleme Materiais De Construcao Limitada - Cacador,https://temp.selemewood.com.br/,2026-02-23T12:10:56.980040+00:00,Wood,FLAT JAMB,wood,yes,no,Product category
