nm_empresa,website_url,run_at,product_category,product_name,materials,is_wood_related,mentions_pinus,source_hint
+55 Fabrica De Moveis Ltda. - Campinas,https://www.55-design.com/,2026-02-04T12:23:22.303464+00:00,,Bar Sylvia,"tauari natural com palha de seda, pinus com palha de seda, sucupira com palha de seda, madeira ebanizada com palha de seda",yes,yes,Bar Sylvia | +55design
+55 Fabrica De Moveis Ltda. - Campinas,https://www.55-design.com/,2026-02-04T12:23:22.303464+00:00,,Biombo Sylvia,"tauari natural com palha de seda, pinus",yes,yes,Biombo Sylvia | +55design
Brascav Bioenergia Ltda - Lencois Paulista,https://ecobrasilbioenergia.com.br,2026-02-04T12:24:22.771132+00:00,Cavaco de Madeira,Comércio de Cavaco Eucalipto e Pinus,Eucalipto e Pinus,yes,yes,COMÉRCIO DE CAVACO Eucalipto e Pinus
Brascav Bioenergia Ltda - Lencois Paulista,https://ecobrasilbioenergia.com.br,2026-02-04T12:24:22.771132+00:00,Toras de Madeira,Comércio de Toras Eucalipto e Pinus,Eucalipto e Pinus,yes,yes,COMÉRCIO DE TORAS Eucalipto e Pinus
Britez Commodities - Sao Paulo,https://britez-commodities.ueniweb.com/,2026-02-04T12:26:49.015319+00:00,Wood,Pinus Elliotti e Eucalipto Grandis,,yes,yes,Nossos Produtos
Colina Industria E Comercio De Artefatos De Madeira Ltda - Sao Bernardo do Campo,https://colinacabosdemadeira.com.br/,2026-02-04T12:27:10.962265+00:00,Resíduos Renováveis,Maravalha de pinus,Pinus,yes,yes,Maravalha de pinus
Colina Industria E Comercio De Artefatos De Madeira Ltda - Sao Bernardo do Campo,https://colinacabosdemadeira.com.br/,2026-02-04T12:27:10.962265+00:00,Resíduos Renováveis,Serragem de Pinus,Pinus,yes,yes,Serragem de Pinus
Comercio De Madeiras Pau Brasil - Ubatuba,https://paubrasilmadeiras.com.br/,2026-02-04T12:40:53.581301+00:00,Madeiras,Pinus,Pinus,yes,yes,Madeiras
Compinus Comercio E Transporte De Madeiras - Buri,https://ecopinusmadeiras.com.br/,2026-02-04T12:23:58.692918+00:00,Tábuas,Tábuas de Pinus,Madeira ecologicamente correta (pinus),yes,yes,https://ecopinusmadeiras.com.br/produtos/
Compinus Comercio E Transporte De Madeiras - Buri,https://ecopinusmadeiras.com.br/,2026-02-04T12:23:58.692918+00:00,Pontaletes,Pontaletes,Madeira,yes,yes,https://ecopinusmadeiras.com.br/produtos/
