Razão Social,Nome do Sócio,Porte da Empresa,Ano de Início,Microrregião,Município,Endereço Completo,nu_telefone_1,nm_correio_eletronico
Adm Do Brasil Ltda,"Adm Agri-Industries Company,Domingo Alejandro Lastra,Adm Holdings, Llc,Luciano Correia Botelho,Patricia Ulian,Andreieli Ribeiro Pinto,Marcelo Kenji Aoyagi",Média e grande,2023,Joaçaba,Erval Velho,"Estrada Noss Senhora Das Gracas S/N, Interior",51853500,fiscalizacoes@adm.com
Adm Do Brasil Ltda,"Adm Agri-Industries Company,Domingo Alejandro Lastra,Adm Holdings, Llc,Luciano Correia Botelho,Patricia Ulian,Andreieli Ribeiro Pinto,Marcelo Kenji Aoyagi",Média e grande,2025,Joaçaba,Catanduvas,"Estrada Interior Geral S/N       Passo Da Barraca, Vila Jacutinga",51853500,fiscalizacoes@adm.com
Adm Do Brasil Ltda,"Adm Agri-Industries Company,Domingo Alejandro Lastra,Adm Holdings, Llc,Luciano Correia Botelho,Patricia Ulian,Andreieli Ribeiro Pinto,Marcelo Kenji Aoyagi",Média e grande,2023,Joaçaba,Catanduvas,"Estrada Marmeleiro S/N       Linha Sao Jose, Interior",21230077,fiscalizacoes@adm.com
Adm Do Brasil Ltda,"Adm Agri-Industries Company,Domingo Alejandro Lastra,Adm Holdings, Llc,Luciano Correia Botelho,Patricia Ulian,Andreieli Ribeiro Pinto,Marcelo Kenji Aoyagi",Média e grande,2025,Joaçaba,Catanduvas,"Vila Jacutinga S/N, Interior",51853500,fiscalizacoes@adm.com
Adm Do Brasil Ltda,"Adm Agri-Industries Company,Domingo Alejandro Lastra,Adm Holdings, Llc,Luciano Correia Botelho,Patricia Ulian,Andreieli Ribeiro Pinto,Marcelo Kenji Aoyagi",Média e grande,2025,Joaçaba,Joacaba,"Estrada Tigre S/N, L Tigre",51853500,fiscalizacoes@adm.com
Agricola Industrial Curitibanos Agril Ltda,Paulo Roberto Rink,Média e grande,1982,Curitibanos,Sao Cristovao do Sul,"Fazenda De Caraguata 1 Cxpst 8, Interior",99720464,ntcjose@gmail.com
Alto Rio Preto Florestal Ltda.,"Alto Rio Preto Administracao De Bens Ltda.,Alto Rio Preto Participacoes S/A,Carlos Henrique Alexandroni De Domenico",Média e grande,2016,São Bento do Sul,Rio Negrinho,"Rua Francisco Angelucci De Domenico 1600, Volta Grande",34331111,juliane@martinellimartines.adv.br
Amape Florestas E Imoveis Ltda,Marcos Anderson Treitinger,Pequena,2017,Rio do Sul,Witmarsum,"Rodovia Sc 340 S/N, Krauel Central",99811672,marcostreitinger@hotmail.com
Ame Agroflorestal Ltda,"Jes Participacoes Ltda,Salezio Jose Martins",Média e grande,2022,Blumenau,Pomerode,"Rua 15 De Novembro 3215 Sala  305, Testo Central Alto",33878850,controladoria.processos@grupokyly.com.br
Areial Do Vale Ltda,"Roveda Participacoes Ltda,Hilda Adamio Roveda,Marisa Florita Fiorelli Geremia,Geremia Participacoes Ltda,Airton Bernardo Roveda,Lenoir Antonio Geremia",Pequena,2022,Canoinhas,Irineopolis,"Comunidade Vila Nova Do Timbo Sn       Estrada Geral Vila        Nova Do Timbo, Zona Rural",35221635,gr@gr.com.br
Barriga Verde Cooperativa De Reflorestamento,"Roberto Alves De Carvalho Junior,Dalles Ferreira Campanati,Mauricio Silveira Maurer,Altair Ribeiro Da Rosa,Pricila De Oliveira De Freitas",Média e grande,2011,Canoinhas,Papanduva,"Estrada Salto Itajai S/N Sala  04, Salto Itajai",34377711,administrativo@cooperlipto.com.br
Bauminvest Plantacoes Ltda,"Real Assets S.A.,Carlos Campos Theodoro,Alceda Directors S.A.R.L.",Média e grande,2013,Joinville,Massaranduba,"Estrada 340 4224, Sete De Janeiro",33725300,
Brf S.A.,"Miguel De Souza Gularte,Manoel Reinaldo Manzano Martins Junior,Alessandro Rosa Bonorino,Heraldo Geres,Leonardo Campo Dall Orto,Artemio Listoni,Marcel Sacco,Fabio Luis Mendes Mariano,Fabio Duarte Stumpf",Média e grande,2008,Joaçaba,Capinzal,"Estrada Capinzal - Piratuba S/N, Empresa Velha",32494100,tributariocsc@brf.com
Brf S.A.,"Miguel De Souza Gularte,Manoel Reinaldo Manzano Martins Junior,Alessandro Rosa Bonorino,Heraldo Geres,Leonardo Campo Dall Orto,Artemio Listoni,Marcel Sacco,Fabio Luis Mendes Mariano,Fabio Duarte Stumpf",Média e grande,2008,Joaçaba,Calmon,"Estrada Cacador - Porto Uniao S/N       Km 22, Sede",32494100,tributariocsc@brf.com
Brf S.A.,"Miguel De Souza Gularte,Manoel Reinaldo Manzano Martins Junior,Alessandro Rosa Bonorino,Heraldo Geres,Leonardo Campo Dall Orto,Artemio Listoni,Marcel Sacco,Fabio Luis Mendes Mariano,Fabio Duarte Stumpf",Média e grande,2008,Joaçaba,Tangara,"Vila Passo Da Felicidade S/N       Fundos, Irakitan",32494100,tributariocsc@brf.com
Brf S.A.,"Miguel De Souza Gularte,Manoel Reinaldo Manzano Martins Junior,Alessandro Rosa Bonorino,Heraldo Geres,Leonardo Campo Dall Orto,Artemio Listoni,Marcel Sacco,Fabio Luis Mendes Mariano,Fabio Duarte Stumpf",Média e grande,2008,Joaçaba,Erval Velho,"Estrada Erval Velho-Salto Leao S/N       Km 12, Linha Salto Do Leao",32494100,tributariocsc@brf.com
Brf S.A.,"Miguel De Souza Gularte,Manoel Reinaldo Manzano Martins Junior,Alessandro Rosa Bonorino,Heraldo Geres,Leonardo Campo Dall Orto,Artemio Listoni,Marcel Sacco,Fabio Luis Mendes Mariano,Fabio Duarte Stumpf",Média e grande,2008,Joaçaba,Capinzal,"Estrada Capinzal-Piratuba S/N       Km 7, Sede",32494100,tributariocsc@brf.com
Brf S.A.,"Miguel De Souza Gularte,Manoel Reinaldo Manzano Martins Junior,Alessandro Rosa Bonorino,Heraldo Geres,Leonardo Campo Dall Orto,Artemio Listoni,Marcel Sacco,Fabio Luis Mendes Mariano,Fabio Duarte Stumpf",Média e grande,2008,Joaçaba,Fraiburgo,"Comunidade Baia S/N       Estrada Fb 120, Rural Fraiburgo",32494100,tributariocsc@brf.com
Brf S.A.,"Miguel De Souza Gularte,Manoel Reinaldo Manzano Martins Junior,Alessandro Rosa Bonorino,Heraldo Geres,Leonardo Campo Dall Orto,Artemio Listoni,Marcel Sacco,Fabio Luis Mendes Mariano,Fabio Duarte Stumpf",Média e grande,2008,Joaçaba,Rio das Antas,"Estrada Rio Das Antas - Pedra Lisa S/N       Km 14, Paiol Branco",32494100,tributariocsc@brf.com
Casa Agricola Salim Ltda,Francisco Zenni Guerios,Pequena,2024,Joinville,Joinville,"Estrada Pirabeiraba 28, Pirabeiraba",99595248,fguerios@gmail.com
Cia Novosul Industria E Comercio,"Plinio Paese,Delair Reli Sbabo Paese",Média e grande,1986,Campos de Lages,Anita Garibaldi,"Loc  Fazenda Santo Antonio S/N, Celso Ramos",,
Cleonice Ossowski Empreendimentos Ltda,Cleonice Ossowski Iachitzki,Média e grande,2022,Canoinhas,Canoinhas,"Rua Guilherme Gonchorovski 825, Alto Da Tijuca",96596516,cleoniceossowski@gmail.com
Coamo Agroindustrial Cooperativa,"Divaldo Correa,Airton Galinari,Antonio Sergio Gabriel,Aquiles De Oliveira Dias,Edenilson Carlos De Oliveira,Rogerio Trannin De Mello",Média e grande,2009,Xanxerê,Abelardo Luz,"Estrada Rural Passo Das Antas, Km 6 S/N, ...",35998000,coamo@coamo.com.br
Comfloresta Cia Cat Empr Flores Scp Proj Abarracamento,,Média e grande,1987,Joinville,Joinville,"Rua Inacio Bastos 1084 Sede, Bucarein",,
Comfloresta Cia Cat Empr Flores Scp Proj Barra Velha,,Média e grande,1987,Joinville,Joinville,"Rua Inacio Bastos 1084 Sede, Bucarein",,
Comfloresta Cia Cat Empr Flores Scp Proj Estaleiro Iii,,Média e grande,1987,Joinville,Joinville,"Rua Inacio Bastos 1084 Sede, Bucarein",,
Comfloresta Cia Cat Empr Flores Scp Proj Morro Da Palha,,Média e grande,1987,Joinville,Joinville,"Rua Inacio Bastos 1084 Sede, Bucarein",,
Comfloresta Cia Cat Empr Flores Scp Proj Osso Da Anta,,Média e grande,1987,Joinville,Joinville,"Rua Inacio Bastos 1084 Sede, Bucarein",,
Comfloresta Cia Cat Empr Flores Scp Proj Rio Do Fojo I,,Média e grande,1987,Joinville,Joinville,"Rua Inacio Bastos 1084 Sede, Bucarein",,
Comfloresta Cia Cat Empr Flores Scp Proj Sai Mirim,,Média e grande,1987,Joinville,Joinville,"Rua Inacio Bastos 1084 Sede, Bucarein",,
Comfloresta Cia Cat Empr Flores Scp Projeto Boguacu I,,Média e grande,1987,Joinville,Joinville,"Rua Inacio Bastos 1084 Sede, Bucarein",,
Comfloresta Cia Cat Empr Flores Scp Projeto Boguacu Ii,,Média e grande,1987,Joinville,Joinville,"Rua Inacio Bastos 1084 Sede, Bucarein",,
Comfloresta Cia Cat Empr Flores Scp Projeto Boguacu Iii,,Média e grande,1987,Joinville,Joinville,"Rua Inacio Bastos 1084 Sede, Bucarein",,
Comfloresta Cia Cat Empr Florest Scp Proj Braco Elza,,Média e grande,1987,Joinville,Joinville,"Rua Inacio Bastos 1084 Sede, Bucarein",,
Comfloresta Cia Cat Empr Florest Scp Proj Papanduvinha,,Média e grande,1987,Joinville,Joinville,"Rua Inacio Bastos 1084 Sede, Bucarein",,
Comfloresta Cia Cat Empr Florest Scp Projeto Conquista,,Média e grande,1987,Joinville,Joinville,"Rua Inacio Bastos 1084 Sede, Bucarein",,
Comfloresta Cia Cat Empr Florest Scp Projeto Onca Parda,,Média e grande,1987,Joinville,Joinville,"Rua Inacio Bastos 1084 Sede, Bucarein",,
Comfloresta Cia Cat Empr Florest Scp Projeto Rio Negro,,Média e grande,1987,Joinville,Joinville,"Rua Inacio Bastos 1084 Sede, Bucarein",,
