nm_municipio_1mai_sa_x,cd_mun_7d,nm_uf_x,sg_uf,grupo_setor,quantidade_empresas,nm_uf_y,nm_municipio_1mai_sa_y,nm_microrregiao,nu_latitude,nu_longitude
Abadia de Goias,5200050.0,Goiás,GO,Comércio varejista de materiais de construção,3,Goiás,Abadia de Goias,Goiânia,-16.75881189,-49.44054783
Abadia de Goias,5200050.0,Goiás,GO,Fabricação de móveis com predominância de madeira,1,Goiás,Abadia de Goias,Goiânia,-16.75881189,-49.44054783
Abadia dos Dourados,3100104.0,Minas Gerais,MG,Comércio varejista de materiais de construção,1,Minas Gerais,Abadia dos Dourados,Patrocínio,-18.48756496,-47.39683244
Abadiania,5200100.0,Goiás,GO,Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais,2,Goiás,Abadiania,Entorno de Brasília,-16.18267186,-48.71881214
Abaete,3100203.0,Minas Gerais,MG,Comércio atacadista de materiais de construção,5,Minas Gerais,Abaete,Três Marias,-19.15584769,-45.44619142
Abaete,3100203.0,Minas Gerais,MG,Comércio varejista de materiais de construção,6,Minas Gerais,Abaete,Três Marias,-19.15584769,-45.44619142
Abaetetuba,1500107.0,Pará,PA,Comércio varejista de materiais de construção,41,Pará,Abaetetuba,Cametá,-1.723469863,-48.88440382
Abaetetuba,1500107.0,Pará,PA,"Fabricação de artefatos diversos de madeira, exceto móveis",1,Pará,Abaetetuba,Cametá,-1.723469863,-48.88440382
Abaetetuba,1500107.0,Pará,PA,Fabricação de móveis com predominância de madeira,1,Pará,Abaetetuba,Cametá,-1.723469863,-48.88440382
Abare,2900207.0,Bahia,BA,Comércio varejista de materiais de construção,2,Bahia,Abare,Paulo Afonso,-8.723418246,-39.11658794
Abatia,4100103.0,Paraná,PR,Comércio varejista de materiais de construção,3,Paraná,Abatia,Cornélio Procópio,-23.30049404,-50.31252658
Abdon Batista,4200051.0,Santa Catarina,SC,Comércio varejista de materiais de construção,1,Santa Catarina,Abdon Batista,Curitibanos,-27.60898712,-51.02527221
Abdon Batista,4200051.0,Santa Catarina,SC,Fabricação de móveis com predominância de madeira,1,Santa Catarina,Abdon Batista,Curitibanos,-27.60898712,-51.02527221
Abel Figueiredo,1500131.0,Pará,PA,Comércio varejista de materiais de construção,3,Pará,Abel Figueiredo,Paragominas,-4.951390896,-48.39676213
Abelardo Luz,4200101.0,Santa Catarina,SC,Comércio varejista de materiais de construção,6,Santa Catarina,Abelardo Luz,Xanxerê,-26.56303102,-52.33648238
