cd_uf,nm_uf,nm_mesorregiao,nm_microrregiao,nm_municipio_1mai_ca,nm_municipio_uf,cd_mun_5d,cd_mun_6d,cd_mun_7d,cd_microrregiao,cd_mesorregiao,cd_mun_rfb,nm_vice_presidencia,nu_altitude,nu_latitude,nu_longitude,nm_uf_sa,nm_municipio_1mai_sa,nm_municipio_mai_sa,nm_uf_mai_sa,nm_municipio_uf_mai_sa,cd_uf_dim,nm_uf_sigla
11,Rondônia,Leste Rondoniense,Cacoal,Alta Floresta D'Oeste,"Alta Floresta D'Oeste, Rondônia, Brasil",15,110001,1100015,6,2,33,null,null,-11.9355403,-61.9998239,Rondonia,Alta Floresta D'Oeste,ALTA FLORESTA D'OESTE,RONDONIA,"ALTA FLORESTA D'OESTE, RONDONIA, BRASIL",11,RO
11,Rondônia,Leste Rondoniense,Cacoal,Alto Alegre dos Parecis,"Alto Alegre dos Parecis, Rondônia, Brasil",379,110037,1100379,6,2,2,null,null,-12.13177722,-61.85307717,Rondonia,Alto Alegre dos Parecis,ALTO ALEGRE DOS PARECIS,RONDONIA,"ALTO ALEGRE DOS PARECIS, RONDONIA, BRASIL",11,RO
11,Rondônia,Leste Rondoniense,Ariquemes,Alto Paraíso,"Alto Paraíso, Rondônia, Brasil",403,110040,1100403,3,2,675,null,null,-9.716666738,-63.31762943,Rondonia,Alto Paraiso,ALTO PARAISO,RONDONIA,"ALTO PARAISO, RONDONIA, BRASIL",11,RO
11,Rondônia,Leste Rondoniense,Alvorada D'Oeste,Alvorada D'Oeste,"Alvorada D'Oeste, Rondônia, Brasil",346,110034,1100346,5,2,35,null,null,-11.34413002,-62.27727487,Rondonia,Alvorada D'Oeste,ALVORADA D'OESTE,RONDONIA,"ALVORADA D'OESTE, RONDONIA, BRASIL",11,RO
11,Rondônia,Leste Rondoniense,Ariquemes,Ariquemes,"Ariquemes, Rondônia, Brasil",23,110002,1100023,3,2,7,null,null,-9.908462867,-63.03326928,Rondonia,Ariquemes,ARIQUEMES,RONDONIA,"ARIQUEMES, RONDONIA, BRASIL",11,RO
11,Rondônia,Madeira-Guaporé,Porto Velho,Buritis,"Buritis, Rondônia, Brasil",452,110045,1100452,1,1,4,null,null,-10.20980541,-63.82967879,Rondonia,Buritis,BURITIS,RONDONIA,"BURITIS, RONDONIA, BRASIL",11,RO
11,Rondônia,Leste Rondoniense,Colorado do Oeste,Cabixi,"Cabixi, Rondônia, Brasil",31,110003,1100031,8,2,37,null,null,-13.49976346,-60.54431358,Rondonia,Cabixi,CABIXI,RONDONIA,"CABIXI, RONDONIA, BRASIL",11,RO
11,Rondônia,Leste Rondoniense,Ariquemes,Cacaulândia,"Cacaulândia, Rondônia, Brasil",601,110060,1100601,3,2,677,null,null,-10.33887284,-62.90318993,Rondonia,Cacaulandia,CACAULANDIA,RONDONIA,"CACAULANDIA, RONDONIA, BRASIL",11,RO
11,Rondônia,Leste Rondoniense,Cacoal,Cacoal,"Cacoal, Rondônia, Brasil",49,110004,1100049,6,2,9,null,null,-11.43386503,-61.44294421,Rondonia,Cacoal,CACOAL,RONDONIA,"CACOAL, RONDONIA, BRASIL",11,RO
11,Rondônia,Madeira-Guaporé,Porto Velho,Campo Novo de Rondônia,"Campo Novo de Rondônia, Rondônia, Brasil",700,110070,1100700,1,1,679,null,null,-10.56841647,-63.62499143,Rondonia,Campo Novo de Rondonia,CAMPO NOVO DE RONDONIA,RONDONIA,"CAMPO NOVO DE RONDONIA, RONDONIA, BRASIL",11,RO
11,Rondônia,Madeira-Guaporé,Porto Velho,Candeias do Jamari,"Candeias do Jamari, Rondônia, Brasil",809,110080,1100809,1,1,681,null,null,-8.785020703,-63.70002007,Rondonia,Candeias do Jamari,CANDEIAS DO JAMARI,RONDONIA,"CANDEIAS DO JAMARI, RONDONIA, BRASIL",11,RO
11,Rondônia,Leste Rondoniense,Cacoal,Castanheiras,"Castanheiras, Rondônia, Brasil",908,110090,1100908,6,2,691,null,null,-11.42684223,-61.9491612,Rondonia,Castanheiras,CASTANHEIRAS,RONDONIA,"CASTANHEIRAS, RONDONIA, BRASIL",11,RO
11,Rondônia,Leste Rondoniense,Colorado do Oeste,Cerejeiras,"Cerejeiras, Rondônia, Brasil",56,110005,1100056,8,2,27,null,null,-13.19503303,-60.81842616,Rondonia,Cerejeiras,CEREJEIRAS,RONDONIA,"CEREJEIRAS, RONDONIA, BRASIL",11,RO
11,Rondônia,Leste Rondoniense,Vilhena,Chupinguaia,"Chupinguaia, Rondônia, Brasil",924,110092,1100924,7,2,6,null,null,-12.55684076,-60.90184775,Rondonia,Chupinguaia,CHUPINGUAIA,RONDONIA,"CHUPINGUAIA, RONDONIA, BRASIL",11,RO
11,Rondônia,Leste Rondoniense,Colorado do Oeste,Colorado do Oeste,"Colorado do Oeste, Rondônia, Brasil",64,110006,1100064,8,2,23,null,null,-13.13056384,-60.55506746,Rondonia,Colorado do Oeste,COLORADO DO OESTE,RONDONIA,"COLORADO DO OESTE, RONDONIA, BRASIL",11,RO
11,Rondônia,Leste Rondoniense,Colorado do Oeste,Corumbiara,"Corumbiara, Rondônia, Brasil",72,110007,1100072,8,2,981,null,null,-12.99752024,-60.94870117,Rondonia,Corumbiara,CORUMBIARA,RONDONIA,"CORUMBIARA, RONDONIA, BRASIL",11,RO
11,Rondônia,Madeira-Guaporé,Guajará-Mirim,Costa Marques,"Costa Marques, Rondônia, Brasil",80,110008,1100080,2,1,21,null,null,-12.43601388,-64.23165394,Rondonia,Costa Marques,COSTA MARQUES,RONDONIA,"COSTA MARQUES, RONDONIA, BRASIL",11,RO
11,Rondônia,Madeira-Guaporé,Porto Velho,Cujubim,"Cujubim, Rondônia, Brasil",940,110094,1100940,1,1,8,null,null,-9.378193399,-62.58717453,Rondonia,Cujubim,CUJUBIM,RONDONIA,"CUJUBIM, RONDONIA, BRASIL",11,RO
11,Rondônia,Leste Rondoniense,Cacoal,Espigão D'Oeste,"Espigão D'Oeste, Rondônia, Brasil",98,110009,1100098,6,2,25,null,null,-11.52855463,-61.02017311,Rondonia,Espigao D'Oeste,ESPIGAO D'OESTE,RONDONIA,"ESPIGAO D'OESTE, RONDONIA, BRASIL",11,RO
11,Rondônia,Leste Rondoniense,Ji-Paraná,Governador Jorge Teixeira,"Governador Jorge Teixeira, Rondônia, Brasil",1005,110100,1101005,4,2,693,null,null,-10.61207177,-62.74045764,Rondonia,Governador Jorge Teixeira,GOVERNADOR JORGE TEIXEIRA,RONDONIA,"GOVERNADOR JORGE TEIXEIRA, RONDONIA, BRASIL",11,RO
11,Rondônia,Madeira-Guaporé,Guajará-Mirim,Guajará-Mirim,"Guajará-Mirim, Rondônia, Brasil",106,110010,1100106,2,1,1,null,null,-10.77388374,-65.32395182,Rondonia,Guajara-Mirim,GUAJARA-MIRIM,RONDONIA,"GUAJARA-MIRIM, RONDONIA, BRASIL",11,RO
11,Rondônia,Madeira-Guaporé,Porto Velho,Itapuã do Oeste,"Itapuã do Oeste, Rondônia, Brasil",1104,110110,1101104,1,1,683,null,null,-9.191871675,-63.18233702,Rondonia,Itapua do Oeste,ITAPUA DO OESTE,RONDONIA,"ITAPUA DO OESTE, RONDONIA, BRASIL",11,RO
11,Rondônia,Leste Rondoniense,Ji-Paraná,Jaru,"Jaru, Rondônia, Brasil",114,110011,1100114,4,2,15,null,null,-10.43594877,-62.47623071,Rondonia,Jaru,JARU,RONDONIA,"JARU, RONDONIA, BRASIL",11,RO
11,Rondônia,Leste Rondoniense,Ji-Paraná,Ji-Paraná,"Ji-Paraná, Rondônia, Brasil",122,110012,1100122,4,2,5,null,null,-10.88205132,-61.94509458,Rondonia,Ji-Parana,JI-PARANA,RONDONIA,"JI-PARANA, RONDONIA, BRASIL",11,RO
11,Rondônia,Leste Rondoniense,Ariquemes,Machadinho D'Oeste,"Machadinho D'Oeste, Rondônia, Brasil",130,110013,1100130,3,2,39,null,null,-9.42556248,-61.99959257,Rondonia,Machadinho D'Oeste,MACHADINHO D'OESTE,RONDONIA,"MACHADINHO D'OESTE, RONDONIA, BRASIL",11,RO
11,Rondônia,Leste Rondoniense,Cacoal,Ministro Andreazza,"Ministro Andreazza, Rondônia, Brasil",1203,110120,1101203,6,2,695,null,null,-11.19623798,-61.51892193,Rondonia,Ministro Andreazza,MINISTRO ANDREAZZA,RONDONIA,"MINISTRO ANDREAZZA, RONDONIA, BRASIL",11,RO
11,Rondônia,Leste Rondoniense,Ji-Paraná,Mirante da Serra,"Mirante da Serra, Rondônia, Brasil",1302,110130,1101302,4,2,697,null,null,-11.04560929,-62.6694271,Rondonia,Mirante da Serra,MIRANTE DA SERRA,RONDONIA,"MIRANTE DA SERRA, RONDONIA, BRASIL",11,RO
11,Rondônia,Leste Rondoniense,Ariquemes,Monte Negro,"Monte Negro, Rondônia, Brasil",1401,110140,1101401,3,2,685,null,null,-10.26309776,-63.29555917,Rondonia,Monte Negro,MONTE NEGRO,RONDONIA,"MONTE NEGRO, RONDONIA, BRASIL",11,RO
11,Rondônia,Leste Rondoniense,Alvorada D'Oeste,Nova Brasilândia D'Oeste,"Nova Brasilândia D'Oeste, Rondônia, Brasil",148,110014,1100148,5,2,41,null,null,-11.72132541,-62.30823016,Rondonia,Nova Brasilandia D'Oeste,NOVA BRASILANDIA D'OESTE,RONDONIA,"NOVA BRASILANDIA D'OESTE, RONDONIA, BRASIL",11,RO
11,Rondônia,Madeira-Guaporé,Porto Velho,Nova Mamoré,"Nova Mamoré, Rondônia, Brasil",338,110033,1100338,1,1,47,null,null,-10.41177129,-65.32914902,Rondonia,Nova Mamore,NOVA MAMORE,RONDONIA,"NOVA MAMORE, RONDONIA, BRASIL",11,RO
11,Rondônia,Leste Rondoniense,Ji-Paraná,Nova União,"Nova União, Rondônia, Brasil",1435,110143,1101435,4,2,10,null,null,-10.91553204,-62.5550894,Rondonia,Nova Uniao,NOVA UNIAO,RONDONIA,"NOVA UNIAO, RONDONIA, BRASIL",11,RO
11,Rondônia,Leste Rondoniense,Cacoal,Novo Horizonte do Oeste,"Novo Horizonte do Oeste, Rondônia, Brasil",502,110050,1100502,6,2,689,null,null,-11.70974292,-61.99438766,Rondonia,Novo Horizonte do Oeste,NOVO HORIZONTE DO OESTE,RONDONIA,"NOVO HORIZONTE DO OESTE, RONDONIA, BRASIL",11,RO
11,Rondônia,Leste Rondoniense,Ji-Paraná,Ouro Preto do Oeste,"Ouro Preto do Oeste, Rondônia, Brasil",155,110015,1100155,4,2,17,null,null,-10.7235739,-62.26105519,Rondonia,Ouro Preto do Oeste,OURO PRETO DO OESTE,RONDONIA,"OURO PRETO DO OESTE, RONDONIA, BRASIL",11,RO
11,Rondônia,Leste Rondoniense,Vilhena,Parecis,"Parecis, Rondônia, Brasil",1450,110145,1101450,7,2,12,null,null,-12.17982705,-61.59799797,Rondonia,Parecis,PARECIS,RONDONIA,"PARECIS, RONDONIA, BRASIL",11,RO
11,Rondônia,Leste Rondoniense,Vilhena,Pimenta Bueno,"Pimenta Bueno, Rondônia, Brasil",189,110018,1100189,7,2,11,null,null,-11.67753699,-61.18366567,Rondonia,Pimenta Bueno,PIMENTA BUENO,RONDONIA,"PIMENTA BUENO, RONDONIA, BRASIL",11,RO
11,Rondônia,Leste Rondoniense,Colorado do Oeste,Pimenteiras do Oeste,"Pimenteiras do Oeste, Rondônia, Brasil",1468,110146,1101468,8,2,14,null,null,-13.476562,-61.044379,Rondonia,Pimenteiras do Oeste,PIMENTEIRAS DO OESTE,RONDONIA,"PIMENTEIRAS DO OESTE, RONDONIA, BRASIL",11,RO
11,Rondônia,Madeira-Guaporé,Porto Velho,Porto Velho,"Porto Velho, Rondônia, Brasil",205,110020,1100205,1,1,3,null,null,-8.76889179,-63.83144565,Rondonia,Porto Velho,PORTO VELHO,RONDONIA,"PORTO VELHO, RONDONIA, BRASIL",11,RO
11,Rondônia,Leste Rondoniense,Ji-Paraná,Presidente Médici,"Presidente Médici, Rondônia, Brasil",254,110025,1100254,4,2,19,null,null,-11.17320502,-61.90943868,Rondonia,Presidente Medici,PRESIDENTE MEDICI,RONDONIA,"PRESIDENTE MEDICI, RONDONIA, BRASIL",11,RO
11,Rondônia,Leste Rondoniense,Vilhena,Primavera de Rondônia,"Primavera de Rondônia, Rondônia, Brasil",1476,110147,1101476,7,2,16,null,null,-11.82570695,-61.31654624,Rondonia,Primavera de Rondonia,PRIMAVERA DE RONDONIA,RONDONIA,"PRIMAVERA DE RONDONIA, RONDONIA, BRASIL",11,RO
11,Rondônia,Leste Rondoniense,Ariquemes,Rio Crespo,"Rio Crespo, Rondônia, Brasil",262,110026,1100262,3,2,687,null,null,-9.70553671,-62.90001037,Rondonia,Rio Crespo,RIO CRESPO,RONDONIA,"RIO CRESPO, RONDONIA, BRASIL",11,RO
11,Rondônia,Leste Rondoniense,Cacoal,Rolim de Moura,"Rolim de Moura, Rondônia, Brasil",288,110028,1100288,6,2,29,null,null,-11.72225891,-61.78578094,Rondonia,Rolim de Moura,ROLIM DE MOURA,RONDONIA,"ROLIM DE MOURA, RONDONIA, BRASIL",11,RO
11,Rondônia,Leste Rondoniense,Cacoal,Santa Luzia D'Oeste,"Santa Luzia D'Oeste, Rondônia, Brasil",296,110029,1100296,6,2,43,null,null,-11.90842333,-61.77330546,Rondonia,Santa Luzia D'Oeste,SANTA LUZIA D'OESTE,RONDONIA,"SANTA LUZIA D'OESTE, RONDONIA, BRASIL",11,RO
11,Rondônia,Leste Rondoniense,Vilhena,São Felipe D'Oeste,"São Felipe D'Oeste, Rondônia, Brasil",1484,110148,1101484,7,2,18,null,null,-11.91438935,-61.51250811,Rondonia,Sao Felipe D'Oeste,SAO FELIPE D'OESTE,RONDONIA,"SAO FELIPE D'OESTE, RONDONIA, BRASIL",11,RO
